Sample_ID,Control_description,Control_type,Timepoint,Extraction_plate,Well
EP4-Pine-Rep1-T2-ITS,"Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP4",Pine-Rep,T2,EP4,G2
EP5-Pine-Rep1-T2-ITS,"Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP5",Pine-Rep,T2,EP5,H3
EP6-Pine-Rep1-T2-ITS,"Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP6_and_EP9",Pine-Rep,T2,EP6_and_EP9,G5
EP4-Pine-Rep2-T2-ITS,"Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP4",Pine-Rep,T2,EP4,D3
EP5-Pine-Rep2-T2-ITS,"Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP5",Pine-Rep,T2,EP5,F5
EP6-Pine-Rep2-T2-ITS,"Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP6_and_EP9",Pine-Rep,T2,EP6_and_EP9,E1
EP4-Pine-Rep3-T2-ITS,"Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP4",Pine-Rep,T2,EP4,C7
EP4-Pine-Rep3-T2-ITS,"Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP5",Pine-Rep,T2,EP5,C7
EP6-Pine-Rep3-T2-ITS,"Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP6_and_EP9",Pine-Rep,T2,EP6_and_EP9,D5
EP4-Syn-Extr-T2-ITS,ZymoBIOMICS Microbial Community Standard (Cat. No. D6300) included in extraction plate EP4,Syn-Extr,T2,EP4,H4
EP5-Syn-Extr-T2-ITS,ZymoBIOMICS Microbial Community Standard (Cat. No. D6300) included in extraction plate EP5,Syn-Extr,T2,EP5,F9
EP6-Syn-Extr-T2-ITS,ZymoBIOMICS Microbial Community Standard (Cat. No. D6300) included in extraction plate EP6_and_EP9,Syn-Extr,T2,EP6_and_EP9,C3
EP4-Syn-Rep1-T2-ITS,ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP4,Syn-Rep,T2,EP4,F7
EP5-Syn-Rep1-T2-ITS,ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP5,Syn-Rep,T2,EP5,F1
EP6-Syn-Rep1-T2-ITS,ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP6_and_EP9,Syn-Rep,T2,EP6_and_EP9,B4
EP4-Syn-Rep2-T2-ITS,ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP4,Syn-Rep,T2,EP4,E10
EP5-Syn-Rep2-T2-ITS,ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP5,Syn-Rep,T2,EP5,C10
EP6-Syn-Rep2-T2-ITS,ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP6_and_EP9,Syn-Rep,T2,EP6_and_EP9,A3
EP4-Syn-Rep3-T2-ITS,ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP4,Syn-Rep,T2,EP4,A5
EP5-Syn-Rep3-T2-ITS,ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP5,Syn-Rep,T2,EP5,D8
EP6-Syn-Rep3-T2-ITS,ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP6_and_EP9,Syn-Rep,T2,EP6_and_EP9,E3
EP4-Syn-Rep4-T2-ITS,ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP4,Syn-Rep,T2,EP4,G11
EP5-Syn-Rep4-T2-ITS,ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP5,Syn-Rep,T2,EP5,H12
EP6-Syn-Rep4-T2-ITS,ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP6_and_EP9,Syn-Rep,T2,EP6_and_EP9,C2
EP7-Amp-Blank-T3-ITS,Negative control added at the amplicon PCR stage for extraction plate EP7,Amp-Blank,T3,EP7,D1
EP8-Amp-Blank-T3-ITS,Negative control added at the amplicon PCR stage for extraction plate EP8,Amp-Blank,T3,EP8,A11
EP9-Amp-Blank-T3-ITS,Negative control added at the amplicon PCR stage for extraction plate EP6_and_EP9,Amp-Blank,T3,EP6_and_EP9,B7
EP7-DNAblank-T3-ITS,Negative control added at the DNA extraction stage for extraction plate EP7,DNAblank,T3,EP7,G6
EP8-DNAblank-T3-ITS,Negative control added at the DNA extraction stage for extraction plate EP8,DNAblank,T3,EP8,H3
EP9-DNAblank-T3-ITS,Negative control added at the DNA extraction stage for extraction plate EP6_and_EP9,DNAblank,T3,EP6_and_EP9,A11
EP7-Idx-Blank-T3-ITS,Negative control added at the indexing PCR stage for extraction plate EP7,Idx-Blank,T3,EP7,B5
EP8-Idx-Blank-T3-ITS,Negative control added at the indexing PCR stage for extraction plate EP8,Idx-Blank,T3,EP8,B2
EP9-Idx-Blank-T3-ITS,Negative control added at the indexing PCR stage for extraction plate EP6_and_EP9,Idx-Blank,T3,EP6_and_EP9,G10
EP7-Pine-Rep1-T3-ITS,"Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP7",Pine-Rep,T3,EP7,A2
EP8-Pine-Rep1-T3-ITS,"Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP8",Pine-Rep,T3,EP8,C10
EP9-Pine-Rep1-T3-ITS,"Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP6_and_EP9",Pine-Rep,T3,EP6_and_EP9,H7
EP7-Pine-Rep2-T3-ITS,"Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP7",Pine-Rep,T3,EP7,E9
EP8-Pine-Rep2-T3-ITS,"Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP8",Pine-Rep,T3,EP8,C5
EP9-Pine-Rep2-T3-ITS,"Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP6_and_EP9",Pine-Rep,T3,EP6_and_EP9,A9
EP7-Pine-Rep3-T3-ITS,"Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP7",Pine-Rep,T3,EP7,G10
EP8-Pine-Rep3-T3-ITS,"Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP8",Pine-Rep,T3,EP8,F7
EP9-Pine-Rep3-T3-ITS,"Technical replicate of tree genotype 7142 collected at timepoint T1, included in extraction plate EP6_and_EP9",Pine-Rep,T3,EP6_and_EP9,F9
EP7-Syn-Extr-T3-ITS,ZymoBIOMICS Microbial Community Standard (Cat. No. D6300) included in extraction plate EP7,Syn-Extr,T3,EP7,G12
EP8-Syn-Extr-T3-ITS,ZymoBIOMICS Microbial Community Standard (Cat. No. D6300) included in extraction plate EP8,Syn-Extr,T3,EP8,G9
EP9-Syn-Extr-T3-ITS,ZymoBIOMICS Microbial Community Standard (Cat. No. D6300) included in extraction plate EP6_and_EP9,Syn-Extr,T3,EP6_and_EP9,C9
EP7-Syn-Rep1-T3-ITS,ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP7,Syn-Rep,T3,EP7,F3
EP8-Syn-Rep1-T3-ITS,ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP8,Syn-Rep,T3,EP8,C2
EP9-Syn-Rep1-T3-ITS,ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP6_and_EP9,Syn-Rep,T3,EP6_and_EP9,E8
EP7-Syn-Rep2-T3-ITS,ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP7,Syn-Rep,T3,EP7,H8
EP8-Syn-Rep2-T3-ITS,ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP8,Syn-Rep,T3,EP8,B7
EP9-Syn-Rep2-T3-ITS,ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP6_and_EP9,Syn-Rep,T3,EP6_and_EP9,E11
EP7-Syn-Rep3-T3-ITS,ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP7,Syn-Rep,T3,EP7,D10
EP8-Syn-Rep3-T3-ITS,ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP8,Syn-Rep,T3,EP8,D12
EP9-Syn-Rep3-T3-ITS,ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP6_and_EP9,Syn-Rep,T3,EP6_and_EP9,H9
EP7-Syn-Rep4-T3-ITS,ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP7,Syn-Rep,T3,EP7,B9
EP8-Syn-Rep4-T3-ITS,ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP8,Syn-Rep,T3,EP8,E1
EP9-Syn-Rep4-T3-ITS,ZymoBIOMICS Microbial Community DNA Standard (Cat. No. D6306) included in extraction plate EP6_and_EP9,Syn-Rep,T3,EP6_and_EP9,A10
