sample ID	forward sequence count	reverse sequence count
AC1-7230-T1-ITS	336318	336318
AC1-7329-T1-ITS	264800	264800
AC2-7291-T1-ITS	325917	325917
AC2-7464-T1-ITS	255472	255472
AC7-7592-T1-ITS	466297	466297
AC7-7611-T1-ITS	620001	620001
AC8-7174-T1-ITS	110252	110252
AC8-7453-T1-ITS	176112	176112
AC9-7099-T1-ITS	320586	320586
BB1-7232-T1-ITS	331192	331192
BB1-7238-T1-ITS	600099	600099
BB2-7039-T1-ITS	783978	783978
BB2-7590-T1-ITS	189324	189324
BB5-7171-T1-ITS	305792	305792
BB5-7326-T1-ITS	260884	260884
BB7-7227-T1-ITS	348500	348500
BB7-7268-T1-ITS	442873	442873
BE2-7069-T1-ITS	496766	496766
BE2-7141-T1-ITS	700768	700768
BE3-7237-T1-ITS	421551	421551
BE3-7514-T1-ITS	288718	288718
BE4-7003-T1-ITS	181335	181335
BE4-7267-T1-ITS	523798	523798
BE5-7334-T1-ITS	240562	240562
BE7-7455-T1-ITS	260311	260311
BE7-7585-T1-ITS	631553	631553
BW10-7357-T1-ITS	244361	244361
BW10-7396-T1-ITS	343777	343777
BW2-7261-T1-ITS	259641	259641
BW2-7362-T1-ITS	51614	51614
BW3-7429-T1-ITS	213268	213268
BW6-7173-T1-ITS	234220	234220
BW7-7366-T1-ITS	88472	88472
BW7-7581-T1-ITS	258233	258233
CG2-7072-T1-ITS	252106	252106
CG2-7208-T1-ITS	283088	283088
CG3-7651-T1-ITS	381338	381338
CG4-7097-T1-ITS	326433	326433
CG4-7425-T1-ITS	296937	296937
CG7-7197-T1-ITS	168145	168145
CG7-7655-T1-ITS	164704	164704
CG8-7522-T1-ITS	270008	270008
CR10-7431-T1-ITS	472082	472082
CR10-7549-T1-ITS	332882	332882
CR3-7619-T1-ITS	341851	341851
CR3-7642-T1-ITS	351700	351700
CR4-7135-T1-ITS	168294	168294
CR7-7648-T1-ITS	472991	472991
CR7-7652-T1-ITS	281035	281035
CR9-7298-T1-ITS	301463	301463
CR9-7389-T1-ITS	162582	162582
EP2-DNAblank-T1-ITS	61	61
EP2-Idx-Blank-T1-ITS	276	276
EP2-Pine-Rep1-T1-ITS	235323	235323
EP2-Pine-Rep2-T1-ITS	259123	259123
EP2-Pine-Rep3-T1-ITS	615845	615845
EP2-Syn-Extr-T1-ITS	221311	221311
EP2-Syn-Rep1-T1-ITS	246056	246056
EP2-Syn-Rep2-T1-ITS	82501	82501
EP2-Syn-Rep3-T1-ITS	446442	446442
EP2-Syn-Rep4-T1-ITS	324179	324179
GC1-7294-T1-ITS	128680	128680
GC1-7368-T1-ITS	539421	539421
GC2-7078-T1-ITS	345376	345376
GC2-7136-T1-ITS	302601	302601
GC5-7457-T1-ITS	689247	689247
GC8-7367-T1-ITS	105145	105145
GC8-7582-T1-ITS	272234	272234
GC9-7100-T1-ITS	311456	311456
GE1-7647-T1-ITS	242026	242026
GE2-7555-T1-ITS	619779	619779
GE6-7040-T1-ITS	437383	437383
GE6-7205-T1-ITS	463401	463401
GE7-7423-T1-ITS	371165	371165
GE7-7427-T1-ITS	166958	166958
GE9-7002-T1-ITS	84168	84168
GE9-7272-T1-ITS	172772	172772
GT1-7236-T1-ITS	123127	123127
GT1-7482-T1-ITS	244857	244857
GT2-7200-T1-ITS	151200	151200
GT2-7297-T1-ITS	350118	350118
GT5-7456-T1-ITS	330905	330905
GT6-7486-T1-ITS	114010	114010
GT6-7618-T1-ITS	387624	387624
RM1-7391-T1-ITS	142892	142892
RM1-7523-T1-ITS	398796	398796
RM10-7202-T1-ITS	175613	175613
RM10-7324-T1-ITS	432444	432444
RM3-7609-T1-ITS	222450	222450
RM3-7623-T1-ITS	255240	255240
RM4-7358-T1-ITS	111256	111256
RM4-7620-T1-ITS	471990	471990
RM6-7065-T1-ITS	276334	276334
RM6-7203-T1-ITS	270265	270265
