sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
GE2-7383-T1-ITS	199861	189203	94.67	188992	187948	94.04	187049	93.59
GE2-7483-T1-ITS	226719	215360	94.99	214877	214296	94.52	213280	94.07
GE6-7186-T1-ITS	140085	134658	96.13	134522	134116	95.74	133869	95.56
GE6-7213-T1-ITS	170598	164078	96.18	163676	163286	95.71	162452	95.23
GE7-7575-T1-ITS	123862	118752	95.87	118541	118259	95.48	118197	95.43
GE7-7658-T1-ITS	180245	173307	96.15	173120	172280	95.58	171596	95.2
GE9-7053-T1-ITS	186340	178380	95.73	178273	177999	95.52	177423	95.21
GE9-7480-T1-ITS	127894	122958	96.14	121187	120946	94.57	120505	94.22
GT1-7384-T1-ITS	162672	156445	96.17	156269	153527	94.38	152441	93.71
GT1-7407-T1-ITS	279912	265402	94.82	265114	263299	94.06	261449	93.4
GT2-7573-T1-ITS	320824	306269	95.46	305975	302983	94.44	301534	93.99
GT5-7107-T1-ITS	151613	144647	95.41	144214	135820	89.58	134748	88.88
GT5-7309-T1-ITS	337303	321812	95.41	321286	320414	94.99	319115	94.61
GT6-7349-T1-ITS	247721	237325	95.8	236824	234833	94.8	230614	93.09
GT6-7595-T1-ITS	88274	84495	95.72	84349	83932	95.08	83737	94.86
GT8-7009-T1-ITS	220522	210283	95.36	209882	206509	93.65	204907	92.92
GT8-7341-T1-ITS	161749	154016	95.22	153760	152475	94.27	151896	93.91
GT8-7420-T1-ITS	152865	146289	95.7	146034	145537	95.21	144502	94.53
RM1-7145-T1-ITS	211666	202511	95.67	202086	199479	94.24	196873	93.01
RM10-7352-T1-ITS	408554	390644	95.62	390221	383844	93.95	381387	93.35
RM10-7402-T1-ITS	162204	156091	96.23	155800	155365	95.78	154782	95.42
RM4-7411-T1-ITS	267211	255279	95.53	254966	252050	94.33	249373	93.32
RM6-7031-T1-ITS	121904	115668	94.88	115463	115004	94.34	114101	93.6
RM6-7120-T1-ITS	171353	163269	95.28	163058	162020	94.55	160919	93.91
