sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
AC1-7050-T2-ITS	312056	281272	90.14	280771	278615	89.28	276110	88.48
AC1-7230-T2-ITS	658758	589331	89.46	588777	582232	88.38	577808	87.71
AC2-7049-T2-ITS	154948	139222	89.85	139050	138430	89.34	137620	88.82
AC2-7291-T2-ITS	459827	417182	90.73	416422	414317	90.1	411109	89.41
AC7-7439-T2-ITS	311596	283062	90.84	282590	280537	90.03	278848	89.49
AC7-7611-T2-ITS	382590	346525	90.57	346174	339646	88.78	337053	88.1
AC8-7184-T2-ITS	362791	330197	91.02	329831	327468	90.26	325111	89.61
AC8-7453-T2-ITS	295481	267632	90.58	267164	265696	89.92	264327	89.46
AC9-7099-T2-ITS	380474	345654	90.85	345218	342978	90.14	340159	89.4
AC9-7660-T2-ITS	213001	192960	90.59	192550	191414	89.87	190222	89.31
BB1-7232-T2-ITS	300392	272574	90.74	272156	266725	88.79	264666	88.11
BB1-7504-T2-ITS	696255	630004	90.48	629381	624544	89.7	616731	88.58
BB2-7039-T2-ITS	249428	226258	90.71	226021	224445	89.98	222097	89.04
BB2-7055-T2-ITS	327387	296390	90.53	295870	290597	88.76	288070	87.99
BB2-7542-T2-ITS	389229	354048	90.96	353712	351577	90.33	346426	89
BB3-7657-T2-ITS	676178	612343	90.56	611758	607355	89.82	602549	89.11
BB5-7326-T2-ITS	277432	249752	90.02	249252	246163	88.73	244309	88.06
BB5-7600-T2-ITS	266857	241825	90.62	241498	238449	89.35	236302	88.55
BB7-7181-T2-ITS	400072	363554	90.87	362902	360424	90.09	357951	89.47
BB7-7224-T2-ITS	220504	199812	90.62	199595	198400	89.98	196065	88.92
BB7-7227-T2-ITS	513957	465370	90.55	464794	462818	90.05	459195	89.35
BE2-7069-T2-ITS	237863	213593	89.8	213304	209124	87.92	207755	87.34
BE2-7141-T2-ITS	287319	261602	91.05	261260	259544	90.33	257514	89.63
BE2-7500-T2-ITS	271704	245797	90.46	245328	244103	89.84	241952	89.05
BE3-7245-T2-ITS	187882	170895	90.96	170550	169595	90.27	168446	89.66
BE3-7514-T2-ITS	279549	254778	91.14	254299	252962	90.49	250975	89.78
BE4-7003-T2-ITS	584713	528910	90.46	528311	521723	89.23	517333	88.48
BE4-7663-T2-ITS	287745	260583	90.56	260109	248495	86.36	245478	85.31
BE5-7132-T2-ITS	164740	149719	90.88	149472	148810	90.33	147773	89.7
BE5-7146-T2-ITS	278429	252348	90.63	252088	250676	90.03	248317	89.19
BE7-7019-T2-ITS	168618	152831	90.64	152677	152123	90.22	150877	89.48
BE7-7455-T2-ITS	231284	209984	90.79	209687	208656	90.22	207614	89.77
BE7-7585-T2-ITS	251230	228386	90.91	228142	225120	89.61	223838	89.1
BW10-7357-T2-ITS	394869	358154	90.7	357569	355144	89.94	351635	89.05
BW10-7534-T2-ITS	487569	443703	91	442785	439469	90.13	435326	89.29
BW10-7633-T2-ITS	351173	317008	90.27	316548	315107	89.73	311923	88.82
BW2-7261-T2-ITS	239127	217213	90.84	217007	214166	89.56	212119	88.71
BW2-7628-T2-ITS	371574	337276	90.77	336687	333492	89.75	331740	89.28
BW3-7101-T2-ITS	360659	327210	90.73	326688	321431	89.12	319529	88.6
BW3-7429-T2-ITS	321560	289053	89.89	288443	285543	88.8	282664	87.9
BW3-7594-T2-ITS	182852	166415	91.01	165977	165165	90.33	164215	89.81
BW6-7035-T2-ITS	170327	151661	89.04	151085	148574	87.23	146629	86.09
BW6-7567-T2-ITS	200607	182075	90.76	181820	180908	90.18	177844	88.65
BW7-7581-T2-ITS	246032	222822	90.57	222522	221131	89.88	219211	89.1
BW7-7593-T2-ITS	384841	348192	90.48	347607	343322	89.21	340768	88.55
CG2-7072-T2-ITS	332361	299889	90.23	299537	297101	89.39	295174	88.81
CG2-7148-T2-ITS	407761	369434	90.6	368648	362368	88.87	360021	88.29
CG3-7376-T2-ITS	263314	239545	90.97	239106	237568	90.22	234824	89.18
CG3-7515-T2-ITS	246890	224601	90.97	224214	223236	90.42	221803	89.84
CG4-7097-T2-ITS	223710	203476	90.96	203222	202107	90.34	199887	89.35
CG4-7218-T2-ITS	219962	199714	90.79	199152	197891	89.97	196930	89.53
CG4-7406-T2-ITS	251392	225042	89.52	224644	223485	88.9	221906	88.27
CG4-7425-T2-ITS	221453	199666	90.16	199165	198248	89.52	196913	88.92
CG6-7344-T2-ITS	807436	731417	90.59	730329	724963	89.79	720763	89.27
CG6-7551-T2-ITS	314398	285813	90.91	285461	284309	90.43	282777	89.94
CG7-7197-T2-ITS	209045	189151	90.48	188668	187423	89.66	185219	88.6
CG7-7434-T2-ITS	227004	207090	91.23	206578	205296	90.44	203834	89.79
CG8-7084-T2-ITS	413941	376587	90.98	376046	374610	90.5	372191	89.91
CR10-7348-T2-ITS	356999	324551	90.91	323907	319968	89.63	317550	88.95
CR10-7497-T2-ITS	350586	317239	90.49	316757	315033	89.86	312245	89.06
CR10-7549-T2-ITS	232854	210857	90.55	210665	209201	89.84	206803	88.81
CR3-7338-T2-ITS	473554	431762	91.17	431143	428031	90.39	421428	88.99
CR3-7642-T2-ITS	256987	232469	90.46	232167	230457	89.68	229026	89.12
CR4-7135-T2-ITS	341862	310852	90.93	310431	308446	90.23	306528	89.66
