sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
CR4-7211-T2-ITS	276021	250372	90.71	249741	247372	89.62	246189	89.19
CR7-7183-T2-ITS	309356	279677	90.41	279392	278090	89.89	277150	89.59
CR7-7648-T2-ITS	560054	508477	90.79	507936	503307	89.87	499149	89.13
CR9-7389-T2-ITS	254523	229078	90	228552	227269	89.29	225548	88.62
CR9-7469-T2-ITS	224244	201880	90.03	201481	200741	89.52	198981	88.73
EP4-Pine-Rep1-T2-ITS	274650	248850	90.61	248455	244932	89.18	242705	88.37
EP4-Pine-Rep2-T2-ITS	205864	185863	90.28	185488	184828	89.78	183138	88.96
EP4-Pine-Rep3-T2-ITS	722850	655443	90.67	654754	647142	89.53	641039	88.68
EP4-Syn-Extr-T2-ITS	453867	283709	62.51	283705	279718	61.63	279718	61.63
EP4-Syn-Rep1-T2-ITS	187474	118398	63.15	118398	116894	62.35	116894	62.35
EP4-Syn-Rep2-T2-ITS	211926	129479	61.1	129367	128429	60.6	128429	60.6
EP4-Syn-Rep3-T2-ITS	174441	109704	62.89	109702	108991	62.48	108991	62.48
EP4-Syn-Rep4-T2-ITS	397168	256248	64.52	256246	253653	63.87	253653	63.87
EP6-Amp-Blank-T2-ITS	20810	16853	80.99	16851	16847	80.96	16847	80.96
EP6-DNAblank-T2-ITS	1	1	100	1	1	100	1	100
EP6-Idx-Blank-T2-ITS	646	585	90.56	584	584	90.4	584	90.4
EP6-Pine-Rep1-T2-ITS	230543	208795	90.57	208535	206675	89.65	205287	89.04
EP6-Pine-Rep2-T2-ITS	249031	225878	90.7	225463	223207	89.63	221047	88.76
EP6-Pine-Rep3-T2-ITS	204436	185794	90.88	185449	183795	89.9	181998	89.02
EP6-Syn-Extr-T2-ITS	161135	94765	58.81	94740	93633	58.11	93633	58.11
EP6-Syn-Rep1-T2-ITS	154813	95842	61.91	95840	95039	61.39	95039	61.39
EP6-Syn-Rep2-T2-ITS	149435	90842	60.79	90842	89881	60.15	89881	60.15
EP6-Syn-Rep3-T2-ITS	209497	129803	61.96	129803	128324	61.25	128324	61.25
EP6-Syn-Rep4-T2-ITS	145878	91449	62.69	91449	90279	61.89	90279	61.89
GC1-7085-T2-ITS	384664	348355	90.56	347872	346478	90.07	344199	89.48
GC1-7294-T2-ITS	233858	210467	90	210137	208734	89.26	207895	88.9
GC2-7136-T2-ITS	300030	272932	90.97	272477	271199	90.39	269179	89.72
GC2-7276-T2-ITS	328040	297570	90.71	297114	295653	90.13	293548	89.49
GC5-7089-T2-ITS	297501	272566	91.62	272181	269346	90.54	268054	90.1
GC5-7178-T2-ITS	557851	507303	90.94	506544	502813	90.13	497240	89.13
GC8-7501-T2-ITS	228346	206780	90.56	206299	205282	89.9	202379	88.63
GC8-7582-T2-ITS	263748	238903	90.58	238522	236741	89.76	234675	88.98
GC9-7100-T2-ITS	254585	232205	91.21	231792	230699	90.62	229051	89.97
GC9-7275-T2-ITS	278509	250019	89.77	249413	247589	88.9	245957	88.31
GE1-7087-T2-ITS	356993	323872	90.72	323519	322395	90.31	320216	89.7
GE1-7647-T2-ITS	304720	277286	91	276633	275115	90.28	273003	89.59
GE2-7483-T2-ITS	274691	249869	90.96	249458	248544	90.48	247332	90.04
GE2-7530-T2-ITS	237792	215822	90.76	215390	214303	90.12	212658	89.43
GE2-7555-T2-ITS	271947	246106	90.5	245803	240312	88.37	237734	87.42
GE6-7040-T2-ITS	167405	151880	90.73	151509	150772	90.06	149378	89.23
GE6-7186-T2-ITS	229798	209653	91.23	209162	207080	90.11	205262	89.32
GE6-7213-T2-ITS	309668	280280	90.51	279720	275469	88.96	273492	88.32
GE7-7423-T2-ITS	232028	211302	91.07	210888	209972	90.49	208778	89.98
GE7-7658-T2-ITS	114444	104208	91.06	103954	103466	90.41	102994	90
GE8-7242-T2-ITS	191711	174406	90.97	174136	173170	90.33	172332	89.89
GE8-7333-T2-ITS	310122	281298	90.71	280933	278164	89.7	276472	89.15
GE8-7645-T2-ITS	199102	180439	90.63	180135	174773	87.78	173053	86.92
GE9-7002-T2-ITS	711519	641511	90.16	640792	637886	89.65	633263	89
GE9-7053-T2-ITS	321462	290716	90.44	290224	287838	89.54	285832	88.92
GT1-7407-T2-ITS	362319	330388	91.19	329774	327568	90.41	324440	89.55
GT1-7482-T2-ITS	469351	425324	90.62	424807	421251	89.75	418161	89.09
GT2-7200-T2-ITS	243229	218065	89.65	217665	216579	89.04	215372	88.55
GT2-7210-T2-ITS	324118	295950	91.31	295614	293733	90.63	290659	89.68
GT5-7309-T2-ITS	288720	262643	90.97	262076	260817	90.34	257905	89.33
GT5-7456-T2-ITS	230576	208389	90.38	207885	203564	88.28	202475	87.81
GT6-7486-T2-ITS	175893	159981	90.95	159770	158984	90.39	157732	89.67
GT6-7595-T2-ITS	203264	185079	91.05	184712	183411	90.23	182476	89.77
GT8-7341-T2-ITS	197245	179260	90.88	179003	177874	90.18	176080	89.27
GT8-7420-T2-ITS	290802	264037	90.8	263608	261064	89.77	258295	88.82
RM1-7145-T2-ITS	293803	265059	90.22	264681	259389	88.29	257997	87.81
RM1-7391-T2-ITS	293854	267415	91	267102	263814	89.78	262226	89.24
RM10-7202-T2-ITS	303736	275737	90.78	275371	274196	90.27	272411	89.69
RM10-7324-T2-ITS	299006	272206	91.04	271709	269868	90.26	267683	89.52
RM10-7402-T2-ITS	293379	259152	88.33	258815	253348	86.36	252475	86.06
RM3-7115-T2-ITS	227387	206645	90.88	206263	205478	90.36	203985	89.71
RM3-7609-T2-ITS	455192	412213	90.56	411717	408235	89.68	404175	88.79
RM4-7358-T2-ITS	186050	168414	90.52	168147	166792	89.65	165502	88.96
RM4-7436-T2-ITS	430368	391150	90.89	390527	388550	90.28	386208	89.74
RM6-7065-T2-ITS	614464	558623	90.91	557804	549973	89.5	544953	88.69
RM6-7120-T2-ITS	173299	155667	89.83	155288	153653	88.66	152605	88.06
