sample ID	forward sequence count	reverse sequence count
AC1-7329-T2-ITS	537544	537544
AC2-7464-T2-ITS	239168	239168
AC2-7474-T2-ITS	290695	290695
AC7-7032-T2-ITS	303537	303537
AC7-7592-T2-ITS	283101	283101
AC8-7174-T2-ITS	327685	327685
AC8-7541-T2-ITS	219650	219650
AC9-7142-T2-ITS	258821	258821
AC9-7346-T2-ITS	203144	203144
BB1-7238-T2-ITS	370544	370544
BB1-7409-T2-ITS	299958	299958
BB2-7590-T2-ITS	326727	326727
BB3-7126-T2-ITS	402315	402315
BB5-7171-T2-ITS	374907	374907
BB5-7412-T2-ITS	379482	379482
BB7-7268-T2-ITS	327895	327895
BE2-7510-T2-ITS	208848	208848
BE3-7156-T2-ITS	341084	341084
BE3-7237-T2-ITS	453065	453065
BE4-7267-T2-ITS	349422	349422
BE4-7607-T2-ITS	451048	451048
BE5-7334-T2-ITS	360147	360147
BE5-7509-T2-ITS	262603	262603
BE7-7378-T2-ITS	324134	324134
BW10-7396-T2-ITS	388916	388916
BW2-7025-T2-ITS	306867	306867
BW2-7362-T2-ITS	317061	317061
BW6-7173-T2-ITS	407591	407591
BW6-7284-T2-ITS	443457	443457
BW7-7366-T2-ITS	378701	378701
BW7-7506-T2-ITS	254887	254887
CG2-7160-T2-ITS	572216	572216
CG2-7208-T2-ITS	433160	433160
CG3-7382-T2-ITS	244123	244123
CG3-7651-T2-ITS	193766	193766
CG6-7014-T2-ITS	256579	256579
CG7-7574-T2-ITS	324553	324553
CG7-7655-T2-ITS	282060	282060
CG8-7522-T2-ITS	361243	361243
CG8-7544-T2-ITS	227105	227105
CR10-7431-T2-ITS	171566	171566
CR3-7445-T2-ITS	331284	331284
CR3-7619-T2-ITS	288639	288639
CR4-7143-T2-ITS	363758	363758
CR4-7671-T2-ITS	353081	353081
CR7-7154-T2-ITS	343214	343214
CR7-7652-T2-ITS	333912	333912
CR9-7298-T2-ITS	352275	352275
CR9-7320-T2-ITS	253104	253104
EP5-Amp-Blank-T2-ITS	3	3
EP5-DNAblank-T2-ITS	80	80
EP5-Pine-Rep1-T2-ITS	365298	365298
EP5-Pine-Rep2-T2-ITS	235330	235330
EP5-Pine-Rep3-T2-ITS	355274	355274
EP5-Syn-Extr-T2-ITS	191681	191681
EP5-Syn-Rep1-T2-ITS	216128	216128
EP5-Syn-Rep2-T2-ITS	186203	186203
EP5-Syn-Rep3-T2-ITS	188583	188583
EP5-Syn-Rep4-T2-ITS	300051	300051
GC1-7128-T2-ITS	439025	439025
GC1-7368-T2-ITS	270942	270942
GC2-7078-T2-ITS	250916	250916
GC2-7507-T2-ITS	215574	215574
GC5-7457-T2-ITS	299518	299518
GC8-7367-T2-ITS	373719	373719
GC8-7377-T2-ITS	183347	183347
GC9-7537-T2-ITS	471545	471545
GC9-7589-T2-ITS	373969	373969
GE1-7112-T2-ITS	300353	300353
GE1-7638-T2-ITS	357611	357611
GE2-7383-T2-ITS	116979	116979
GE6-7205-T2-ITS	171822	171822
GE7-7427-T2-ITS	286823	286823
GE7-7575-T2-ITS	440643	440643
GE9-7272-T2-ITS	464310	464310
GE9-7480-T2-ITS	294002	294002
GT1-7236-T2-ITS	309593	309593
GT1-7384-T2-ITS	325472	325472
GT2-7297-T2-ITS	422779	422779
GT2-7573-T2-ITS	356788	356788
GT5-7107-T2-ITS	239917	239917
GT5-7253-T2-ITS	393564	393564
GT6-7349-T2-ITS	335178	335178
GT6-7618-T2-ITS	341262	341262
GT8-7009-T2-ITS	372301	372301
GT8-7254-T2-ITS	291285	291285
RM1-7523-T2-ITS	232069	232069
RM1-7665-T2-ITS	563757	563757
RM10-7352-T2-ITS	415207	415207
RM3-7538-T2-ITS	347599	347599
RM3-7623-T2-ITS	332258	332258
RM4-7411-T2-ITS	354640	354640
RM4-7620-T2-ITS	285681	285681
RM6-7031-T2-ITS	225205	225205
RM6-7203-T2-ITS	514699	514699
