Sample_ID	Tree_genotype	Tree_provenance_pop	Tree_provenance_fam	Sampling_timepoint	Raw_reads	Filtered	Denoised	Merged	Non_chimeric	Non_mito_chlor	Non_syn_comm	No_unassigned	Final_reads_per_sample
BB2-7039-T2-ITS	7039	BB	BB2	T2	260439	226258	226021	224445	222097	169784	169784	169778	169778
BB2-7055-T2-ITS	7055	BB	BB2	T2	345075	296390	295870	290597	288070	206340	206340	206340	206340
BB2-7542-T2-ITS	7542	BB	BB2	T2	409186	354048	353712	351577	346426	252428	252428	252420	252420
BB2-7590-T2-ITS	7590	BB	BB2	T2	348251	306542	306282	292372	289086	189715	189715	189677	189677
BB3-7126-T2-ITS	7126	BB	BB3	T2	423608	375116	374519	360060	355994	315146	315146	314963	314963
BB3-7657-T2-ITS	7657	BB	BB3	T2	717947	612343	611758	607355	602549	530295	530295	530212	530212
BB5-7171-T2-ITS	7171	BB	BB5	T2	395131	352702	352282	344654	342663	278010	278010	277948	277948
BB5-7326-T2-ITS	7326	BB	BB5	T2	299312	249752	249252	246163	244309	215778	215778	215759	215759
BB5-7412-T2-ITS	7412	BB	BB5	T2	399941	357319	356772	349450	346933	297829	297829	297761	297761
BB5-7600-T2-ITS	7600	BB	BB5	T2	278270	241825	241498	238449	236302	196643	196643	196639	196639
BB7-7181-T2-ITS	7181	BB	BB7	T2	419745	363554	362902	360424	357951	332979	332979	332328	332328
BB7-7224-T2-ITS	7224	BB	BB7	T2	242971	199812	199595	198400	196065	135938	135938	135889	135889
BB7-7227-T2-ITS	7227	BB	BB7	T2	538204	465370	464794	462818	459195	332598	332598	332582	332582
BB7-7268-T2-ITS	7268	BB	BB7	T2	340567	305905	305469	299193	297468	239063	239063	239063	239063
BE2-7069-T2-ITS	7069	BE	BE2	T2	282495	213593	213304	209124	207755	170972	170972	170940	170940
BE2-7141-T2-ITS	7141	BE	BE2	T2	298873	261602	261260	259544	257514	230360	230360	230352	230352
BE2-7500-T2-ITS	7500	BE	BE2	T2	284818	245797	245328	244103	241952	208425	208425	208425	208425
BE2-7510-T2-ITS	7510	BE	BE2	T2	222753	195362	195118	189293	187480	122576	122576	122524	122524
BE3-7156-T2-ITS	7156	BE	BE3	T2	354272	319278	318781	307077	302653	250461	250461	250237	250237
BE3-7237-T2-ITS	7237	BE	BE3	T2	471906	425175	425023	407305	402623	249825	249825	249825	249825
BE3-7245-T2-ITS	7245	BE	BE3	T2	194844	170895	170550	169595	168446	134466	134466	134428	134428
BE3-7514-T2-ITS	7514	BE	BE3	T2	294038	254778	254299	252962	250975	213934	213934	213934	213934
BE4-7003-T2-ITS	7003	BE	BE4	T2	606319	528910	528311	521723	517333	428005	428005	427894	427894
BE4-7267-T2-ITS	7267	BE	BE4	T2	363674	328258	327989	322104	318391	276398	276398	276398	276398
BE4-7607-T2-ITS	7607	BE	BE4	T2	486298	425894	425479	416747	412856	342725	342725	342670	342670
BE4-7663-T2-ITS	7663	BE	BE4	T2	299496	260583	260109	248495	245478	141353	141353	141353	141353
BE5-7132-T2-ITS	7132	BE	BE5	T2	170945	149719	149472	148810	147773	122068	122068	122062	122062
BE5-7146-T2-ITS	7146	BE	BE5	T2	292191	252348	252088	250676	248317	225548	225548	225540	225540
BE5-7334-T2-ITS	7334	BE	BE5	T2	372748	334272	333673	325122	319850	283653	283653	283573	283573
BE5-7509-T2-ITS	7509	BE	BE5	T2	274087	244298	243709	239327	236837	198971	198971	198940	198940
BE7-7019-T2-ITS	7019	BE	BE7	T2	175154	152831	152677	152123	150877	112945	112945	112922	112922
BE7-7378-T2-ITS	7378	BE	BE7	T2	349565	303326	302850	295482	293444	257082	257082	256978	256978
BE7-7455-T2-ITS	7455	BE	BE7	T2	241253	209984	209687	208656	207614	174523	174523	174500	174500
BE7-7585-T2-ITS	7585	BE	BE7	T2	260297	228386	228142	225120	223838	192266	192266	192266	192266
BW10-7357-T2-ITS	7357	BW	BW10	T2	411202	358154	357569	355144	351635	272317	272317	272273	272273
BW10-7396-T2-ITS	7396	BW	BW10	T2	413224	360576	359754	349671	346197	275008	275008	274889	274889
BW10-7534-T2-ITS	7534	BW	BW10	T2	514661	443703	442785	439469	435326	312711	312711	312682	312682
BW10-7633-T2-ITS	7633	BW	BW10	T2	371502	317008	316548	315107	311923	222358	222358	222280	222280
BW2-7025-T2-ITS	7025	BW	BW2	T2	321573	285575	285219	276719	275693	203230	203230	203230	203230
BW2-7261-T2-ITS	7261	BW	BW2	T2	255920	217213	217007	214166	212119	169670	169670	169582	169582
BW2-7362-T2-ITS	7362	BW	BW2	T2	352775	298520	297966	292072	289621	235250	235250	235126	235126
BW2-7628-T2-ITS	7628	BW	BW2	T2	390997	337276	336687	333492	331740	272186	272186	272168	272168
BW3-7101-T2-ITS	7101	BW	BW3	T2	377742	327210	326688	321431	319529	275442	275442	275442	275442
BW3-7429-T2-ITS	7429	BW	BW3	T2	343310	289053	288443	285543	282664	216368	214476	214429	214429
BW3-7594-T2-ITS	7594	BW	BW3	T2	192871	166415	165977	165165	164215	148569	148569	148547	148547
