sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
AC1-7230-T3-ITS	358179	326812	91.24	326177	324135	90.5	319856	89.3
AC7-7032-T3-ITS	390758	354026	90.6	353529	351704	90.01	349684	89.49
AC7-7611-T3-ITS	191121	175675	91.92	175343	169312	88.59	165929	86.82
AC8-7453-T3-ITS	309478	283562	91.63	283163	281229	90.87	279043	90.17
AC8-7541-T3-ITS	423562	387441	91.47	386833	383609	90.57	379221	89.53
AC9-7099-T3-ITS	244377	225027	92.08	224538	223162	91.32	221772	90.75
AC9-7346-T3-ITS	256265	234702	91.59	234061	231745	90.43	230192	89.83
BB1-7232-T3-ITS	327127	300769	91.94	300358	297764	91.02	295028	90.19
BB1-7238-T3-ITS	499441	458444	91.79	457704	434735	87.04	428239	85.74
BB1-7409-T3-ITS	316738	285726	90.21	285277	281930	89.01	279974	88.39
BB2-7039-T3-ITS	258463	234292	90.65	233788	232689	90.03	230733	89.27
BB2-7055-T3-ITS	363287	331818	91.34	331166	316776	87.2	311077	85.63
BB2-7542-T3-ITS	406108	369340	90.95	368683	354150	87.21	341318	84.05
BB3-7126-T3-ITS	246067	225204	91.52	224723	223914	91	222092	90.26
BB5-7326-T3-ITS	469423	431575	91.94	430855	428126	91.2	423102	90.13
BB5-7412-T3-ITS	259376	235824	90.92	235243	234198	90.29	232799	89.75
BB7-7224-T3-ITS	321003	292771	91.21	292369	290511	90.5	288199	89.78
BB7-7227-T3-ITS	432306	393947	91.13	393362	391454	90.55	388067	89.77
BE2-7069-T3-ITS	301110	275003	91.33	274532	268951	89.32	266236	88.42
BE2-7510-T3-ITS	319328	294456	92.21	294056	292725	91.67	287518	90.04
BE3-7156-T3-ITS	398248	367403	92.25	366888	364626	91.56	360050	90.41
BE3-7514-T3-ITS	200830	183855	91.55	183409	182741	90.99	180847	90.05
BE4-7003-T3-ITS	381099	351932	92.35	351377	349572	91.73	347339	91.14
BE4-7607-T3-ITS	208886	183487	87.84	183022	182144	87.2	180078	86.21
BE5-7132-T3-ITS	308236	281295	91.26	280723	279337	90.62	275268	89.3
BE5-7509-T3-ITS	306459	275746	89.98	274990	273048	89.1	270107	88.14
BE7-7378-T3-ITS	292224	266646	91.25	266166	265139	90.73	262818	89.94
BE7-7455-T3-ITS	316712	290175	91.62	289521	287060	90.64	285433	90.12
BW10-7357-T3-ITS	404886	369391	91.23	368807	366805	90.59	362019	89.41
BW10-7396-T3-ITS	356317	325984	91.49	325398	323447	90.78	321200	90.14
BW10-7534-T3-ITS	376126	346717	92.18	346159	344132	91.49	340916	90.64
BW10-7633-T3-ITS	300418	272632	90.75	272023	270858	90.16	269460	89.7
BW2-7025-T3-ITS	283275	258241	91.16	257778	255623	90.24	253410	89.46
BW2-7261-T3-ITS	377886	345592	91.45	345268	332956	88.11	327259	86.6
BW3-7101-T3-ITS	371848	343500	92.38	342685	337282	90.7	334279	89.9
BW3-7594-T3-ITS	274807	249305	90.72	248917	247357	90.01	235029	85.53
BW6-7035-T3-ITS	370016	332524	89.87	331786	329713	89.11	326327	88.19
BW6-7284-T3-ITS	241957	216138	89.33	215432	214185	88.52	212173	87.69
BW6-7567-T3-ITS	371047	336594	90.71	336070	324383	87.42	318956	85.96
BW7-7506-T3-ITS	270720	248300	91.72	247832	243382	89.9	240191	88.72
BW7-7581-T3-ITS	422339	391657	92.74	390832	389080	92.13	386411	91.49
CG2-7072-T3-ITS	327716	296850	90.58	296200	293331	89.51	291128	88.84
CG2-7160-T3-ITS	327155	300790	91.94	300145	298264	91.17	294389	89.98
CG3-7382-T3-ITS	447839	411093	91.79	410645	408211	91.15	404441	90.31
CG3-7515-T3-ITS	528686	486361	91.99	485667	481905	91.15	477410	90.3
CG4-7097-T3-ITS	347666	313507	90.17	312994	311950	89.73	310681	89.36
CG4-7218-T3-ITS	411032	381601	92.84	380993	378179	92.01	375664	91.4
CG4-7406-T3-ITS	437649	404338	92.39	403682	401172	91.67	398018	90.94
CG6-7551-T3-ITS	403680	370340	91.74	369690	367596	91.06	365530	90.55
CG7-7197-T3-ITS	369786	337106	91.16	336406	334983	90.59	331565	89.66
CG7-7574-T3-ITS	307272	281863	91.73	281294	279530	90.97	277012	90.15
CG8-7544-T3-ITS	268831	243378	90.53	242905	237550	88.36	236425	87.95
CR10-7348-T3-ITS	541876	498407	91.98	497308	494096	91.18	491069	90.62
CR10-7497-T3-ITS	252408	227163	90	226574	225670	89.41	223544	88.56
CR10-7549-T3-ITS	304582	278302	91.37	277864	276625	90.82	274494	90.12
CR3-7445-T3-ITS	370590	337978	91.2	336949	326609	88.13	323688	87.34
CR3-7619-T3-ITS	248653	227110	91.34	226533	225378	90.64	223493	89.88
CR3-7642-T3-ITS	438519	400088	91.24	399614	397140	90.56	394362	89.93
CR4-7135-T3-ITS	300018	270150	90.04	269588	268251	89.41	265494	88.49
CR4-7671-T3-ITS	304792	276554	90.74	275998	274535	90.07	272818	89.51
CR7-7154-T3-ITS	214524	195099	90.95	194675	193571	90.23	191833	89.42
CR7-7648-T3-ITS	211240	194894	92.26	194473	191778	90.79	189815	89.86
CR9-7320-T3-ITS	276661	251683	90.97	250903	249536	90.2	247833	89.58
CR9-7389-T3-ITS	352848	320386	90.8	319304	308550	87.45	306450	86.85
EP7-Amp-Blank-T3-ITS	28103	24743	88.04	24742	24678	87.81	24678	87.81
EP7-DNAblank-T3-ITS	91426	79323	86.76	79309	78379	85.73	78379	85.73
EP7-Idx-Blank-T3-ITS	12530	10936	87.28	10934	10934	87.26	10934	87.26
EP7-Pine-Rep1-T3-ITS	263015	239605	91.1	239200	238257	90.59	236228	89.82
EP7-Pine-Rep2-T3-ITS	356249	322703	90.58	322156	320957	90.09	317956	89.25
EP7-Pine-Rep3-T3-ITS	156463	142176	90.87	141751	141150	90.21	140214	89.61
EP7-Syn-Extr-T3-ITS	174200	91594	52.58	91584	91226	52.37	91226	52.37
EP7-Syn-Rep1-T3-ITS	161530	87363	54.08	87363	86909	53.8	86909	53.8
EP7-Syn-Rep2-T3-ITS	208535	115107	55.2	115103	114495	54.9	114495	54.9
EP7-Syn-Rep3-T3-ITS	237741	138840	58.4	138833	137895	58	137895	58
EP7-Syn-Rep4-T3-ITS	151838	87461	57.6	87458	87148	57.4	87148	57.4
EP9-Amp-Blank-T3-ITS	0	0	0	0	0	0	0	0
EP9-DNAblank-T3-ITS	16898	13690	81.02	13690	13637	80.7	13637	80.7
EP9-Idx-Blank-T3-ITS	5	3	60	1	0	0	0	0
EP9-Pine-Rep1-T3-ITS	425389	386653	90.89	386357	384702	90.44	380827	89.52
EP9-Pine-Rep2-T3-ITS	375572	342768	91.27	342432	341108	90.82	337558	89.88
EP9-Pine-Rep3-T3-ITS	446995	407228	91.1	406826	405081	90.62	401398	89.8
