sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
EP9-Syn-Extr-T3-ITS	279416	158354	56.67	158271	157560	56.39	157560	56.39
EP9-Syn-Rep1-T3-ITS	205763	114653	55.72	114653	113592	55.21	113592	55.21
EP9-Syn-Rep2-T3-ITS	223257	119870	53.69	119868	118953	53.28	118953	53.28
EP9-Syn-Rep3-T3-ITS	188155	104144	55.35	104143	103314	54.91	103314	54.91
EP9-Syn-Rep4-T3-ITS	261081	143469	54.95	143467	142371	54.53	142371	54.53
GC1-7085-T3-ITS	356961	327326	91.7	326644	325154	91.09	321161	89.97
GC1-7128-T3-ITS	408556	369580	90.46	368810	366738	89.76	362212	88.66
GC1-7294-T3-ITS	343902	311508	90.58	310867	309524	90	307670	89.46
GC1-7368-T3-ITS	519687	471414	90.71	470680	468091	90.07	462108	88.92
GC2-7136-T3-ITS	490679	449110	91.53	448231	444918	90.67	440672	89.81
GC2-7507-T3-ITS	427070	393368	92.11	392570	389760	91.26	385916	90.36
GC5-7089-T3-ITS	355485	323123	90.9	320896	318671	89.64	315715	88.81
GC8-7367-T3-ITS	355190	324042	91.23	323450	321228	90.44	318229	89.59
GC8-7377-T3-ITS	267242	245299	91.79	244814	243658	91.18	240629	90.04
GC8-7582-T3-ITS	356408	317838	89.18	317240	315563	88.54	312661	87.73
GC9-7100-T3-ITS	507498	467632	92.14	466858	463671	91.36	460313	90.7
GC9-7537-T3-ITS	322548	293295	90.93	292515	291015	90.22	288827	89.55
GE1-7638-T3-ITS	200170	185363	92.6	184770	183826	91.83	182062	90.95
GE1-7647-T3-ITS	352894	324930	92.08	324336	322005	91.25	319470	90.53
GE2-7383-T3-ITS	273508	250280	91.51	249779	244786	89.5	242653	88.72
GE2-7483-T3-ITS	343773	315606	91.81	315109	313060	91.07	307945	89.58
GE2-7530-T3-ITS	380038	348204	91.62	347767	345561	90.93	340726	89.66
GE6-7040-T3-ITS	336471	308632	91.73	308019	289722	86.11	285652	84.9
GE6-7186-T3-ITS	355810	330526	92.89	330002	327393	92.01	324957	91.33
GE7-7423-T3-ITS	240456	220906	91.87	220349	217584	90.49	215795	89.74
GE7-7427-T3-ITS	380039	351174	92.4	350629	344334	90.6	339524	89.34
GE7-7575-T3-ITS	348658	320754	92	320164	315754	90.56	309547	88.78
GE7-7658-T3-ITS	315022	292225	92.76	290976	289435	91.88	287157	91.15
GE8-7645-T3-ITS	341281	307979	90.24	307443	299672	87.81	295319	86.53
GE9-7002-T3-ITS	309280	280192	90.59	279596	278249	89.97	276835	89.51
GE9-7272-T3-ITS	387508	356285	91.94	355569	354222	91.41	349591	90.22
GE9-7480-T3-ITS	310257	285824	92.12	285321	284055	91.55	281085	90.6
GT1-7384-T3-ITS	349732	320789	91.72	318874	317172	90.69	314829	90.02
GT1-7482-T3-ITS	346746	312167	90.03	311809	299727	86.44	293144	84.54
GT2-7200-T3-ITS	534208	483789	90.56	482760	479601	89.78	474656	88.85
GT2-7573-T3-ITS	327178	299622	91.58	299156	288966	88.32	283997	86.8
GT5-7253-T3-ITS	296293	271374	91.59	270856	268919	90.76	265896	89.74
GT5-7456-T3-ITS	340305	313355	92.08	312837	306186	89.97	302502	88.89
GT6-7349-T3-ITS	325654	301035	92.44	300508	298346	91.61	295978	90.89
GT6-7486-T3-ITS	275378	251636	91.38	250950	249675	90.67	248209	90.13
GT8-7254-T3-ITS	341819	314216	91.92	313764	311066	91	309216	90.46
GT8-7420-T3-ITS	306057	280343	91.6	279771	270089	88.25	261393	85.41
RM1-7391-T3-ITS	289614	265080	91.53	264500	260868	90.07	258835	89.37
RM1-7523-T3-ITS	389964	358210	91.86	357849	355389	91.13	350688	89.93
RM1-7665-T3-ITS	283769	258101	90.95	257683	255616	90.08	251810	88.74
RM10-7324-T3-ITS	389030	356835	91.72	356451	351499	90.35	347725	89.38
RM10-7352-T3-ITS	298472	273488	91.63	272909	271502	90.96	267582	89.65
RM3-7115-T3-ITS	322105	296004	91.9	295463	294212	91.34	289943	90.02
RM3-7538-T3-ITS	238917	216472	90.61	215905	213546	89.38	210393	88.06
RM3-7609-T3-ITS	305563	268380	87.83	267727	266337	87.16	263660	86.29
RM4-7358-T3-ITS	312250	285958	91.58	285510	283243	90.71	281744	90.23
RM4-7411-T3-ITS	521819	478409	91.68	477639	474748	90.98	469605	89.99
RM6-7031-T3-ITS	176196	161378	91.59	160916	160259	90.95	158963	90.22
RM6-7065-T3-ITS	396015	363028	91.67	362700	349978	88.37	344064	86.88
