sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
AC1-7329-T2-ITS	537544	502633	93.51	502115	483741	89.99	479368	89.18
AC2-7464-T2-ITS	239168	221921	92.79	221541	212490	88.85	211080	88.26
AC2-7474-T2-ITS	290695	271649	93.45	271334	260044	89.46	254860	87.67
AC7-7032-T2-ITS	303537	278054	91.6	277713	272578	89.8	270419	89.09
AC7-7592-T2-ITS	283101	264741	93.51	264548	256914	90.75	252953	89.35
AC8-7174-T2-ITS	327685	308198	94.05	307849	299338	91.35	297443	90.77
AC8-7541-T2-ITS	219650	206569	94.04	206159	200431	91.25	198421	90.34
AC9-7142-T2-ITS	258821	242721	93.78	242262	236634	91.43	234534	90.62
AC9-7346-T2-ITS	203144	190509	93.78	189956	183796	90.48	181682	89.44
BB1-7238-T2-ITS	370544	348288	93.99	348004	342594	92.46	340670	91.94
BB1-7409-T2-ITS	299958	280271	93.44	279821	275288	91.78	272444	90.83
BB2-7590-T2-ITS	326727	306542	93.82	306282	292372	89.49	289086	88.48
BB3-7126-T2-ITS	402315	375116	93.24	374519	360060	89.5	355994	88.49
BB5-7171-T2-ITS	374907	352702	94.08	352282	344654	91.93	342663	91.4
BB5-7412-T2-ITS	379482	357319	94.16	356772	349450	92.09	346933	91.42
BB7-7268-T2-ITS	327895	305905	93.29	305469	299193	91.25	297468	90.72
BE2-7510-T2-ITS	208848	195362	93.54	195118	189293	90.64	187480	89.77
BE3-7156-T2-ITS	341084	319278	93.61	318781	307077	90.03	302653	88.73
BE3-7237-T2-ITS	453065	425175	93.84	425023	407305	89.9	402623	88.87
BE4-7267-T2-ITS	349422	328258	93.94	327989	322104	92.18	318391	91.12
BE4-7607-T2-ITS	451048	425894	94.42	425479	416747	92.4	412856	91.53
BE5-7334-T2-ITS	360147	334272	92.82	333673	325122	90.27	319850	88.81
BE5-7509-T2-ITS	262603	244298	93.03	243709	239327	91.14	236837	90.19
BE7-7378-T2-ITS	324134	303326	93.58	302850	295482	91.16	293444	90.53
BW10-7396-T2-ITS	388916	360576	92.71	359754	349671	89.91	346197	89.02
BW2-7025-T2-ITS	306867	285575	93.06	285219	276719	90.18	275693	89.84
BW2-7362-T2-ITS	317061	298520	94.15	297966	292072	92.12	289621	91.35
BW6-7173-T2-ITS	407591	382750	93.91	382533	374840	91.96	371897	91.24
BW6-7284-T2-ITS	443457	415656	93.73	415235	405846	91.52	403059	90.89
BW7-7366-T2-ITS	378701	356871	94.24	356613	348437	92.01	346885	91.6
BW7-7506-T2-ITS	254887	241124	94.6	241019	233234	91.5	230973	90.62
CG2-7160-T2-ITS	572216	534780	93.46	533877	526166	91.95	523573	91.5
CG2-7208-T2-ITS	433160	405552	93.63	404895	399005	92.11	396093	91.44
CG3-7382-T2-ITS	244123	230295	94.34	230013	225107	92.21	223175	91.42
CG3-7651-T2-ITS	193765	180118	92.96	179894	174380	90	174031	89.82
CG6-7014-T2-ITS	256579	239665	93.41	239255	235622	91.83	234417	91.36
CG7-7574-T2-ITS	324553	303173	93.41	302789	296428	91.33	294208	90.65
CG7-7655-T2-ITS	282060	262037	92.9	261677	257425	91.27	256432	90.91
CG8-7522-T2-ITS	361243	339620	94.01	339204	332786	92.12	331120	91.66
CG8-7544-T2-ITS	227105	212351	93.5	211953	206861	91.09	205755	90.6
CR10-7431-T2-ITS	171566	161806	94.31	161497	157645	91.89	156263	91.08
CR3-7445-T2-ITS	331284	310024	93.58	309363	300483	90.7	298843	90.21
CR3-7619-T2-ITS	288639	270461	93.7	270054	263774	91.39	261316	90.53
CR4-7143-T2-ITS	363758	336812	92.59	336320	331635	91.17	329401	90.55
CR4-7671-T2-ITS	353081	331649	93.93	330737	320866	90.88	318293	90.15
CR7-7154-T2-ITS	343214	319165	92.99	318330	312358	91.01	308476	89.88
CR7-7652-T2-ITS	333912	311045	93.15	310535	303945	91.03	301981	90.44
CR9-7298-T2-ITS	352275	331877	94.21	331559	326716	92.74	323275	91.77
CR9-7320-T2-ITS	253104	237431	93.81	237073	232686	91.93	231237	91.36
EP5-Amp-Blank-T2-ITS	3	1	33.33	1	1	33.33	1	33.33
EP5-DNAblank-T2-ITS	80	77	96.25	73	70	87.5	70	87.5
EP5-Pine-Rep1-T2-ITS	365298	340393	93.18	339380	333338	91.25	331048	90.62
EP5-Pine-Rep2-T2-ITS	235330	219195	93.14	218830	214162	91	212400	90.26
EP5-Pine-Rep3-T2-ITS	355274	333976	94.01	333563	326140	91.8	323611	91.09
EP5-Syn-Extr-T2-ITS	191681	125437	65.44	125436	122945	64.14	122945	64.14
EP5-Syn-Rep1-T2-ITS	216128	135307	62.61	135306	132677	61.39	132677	61.39
EP5-Syn-Rep2-T2-ITS	186203	126892	68.15	126892	124257	66.73	124257	66.73
EP5-Syn-Rep3-T2-ITS	188583	128796	68.3	128794	126323	66.99	126323	66.99
EP5-Syn-Rep4-T2-ITS	300051	197781	65.92	197605	193623	64.53	193623	64.53
GC1-7128-T2-ITS	439025	409465	93.27	408816	401128	91.37	397713	90.59
GC1-7368-T2-ITS	270942	253952	93.73	253680	247193	91.23	245464	90.6
GC2-7078-T2-ITS	250916	236372	94.2	236148	231189	92.14	229910	91.63
GC2-7507-T2-ITS	215574	200502	93.01	200239	197086	91.42	195399	90.64
GC5-7457-T2-ITS	299518	278065	92.84	277355	269745	90.06	268113	89.51
GC8-7367-T2-ITS	373719	350306	93.74	349841	340161	91.02	337462	90.3
GC8-7377-T2-ITS	183347	172242	93.94	172039	168653	91.99	166714	90.93
GC9-7537-T2-ITS	471545	433946	92.03	433320	422054	89.5	418866	88.83
GC9-7589-T2-ITS	373969	346623	92.69	346248	339903	90.89	335190	89.63
GE1-7112-T2-ITS	300353	280805	93.49	280547	273979	91.22	271641	90.44
GE1-7638-T2-ITS	357611	334859	93.64	334508	322837	90.28	318497	89.06
GE2-7383-T2-ITS	116979	110096	94.12	109906	107517	91.91	106252	90.83
GE6-7205-T2-ITS	171822	158133	92.03	157711	152789	88.92	151335	88.08
GE7-7427-T2-ITS	286823	264861	92.34	264508	258943	90.28	255447	89.06
GE7-7575-T2-ITS	440643	414753	94.12	414399	404769	91.86	400887	90.98
GE9-7272-T2-ITS	464310	433375	93.34	433027	418168	90.06	415232	89.43
GE9-7480-T2-ITS	294002	276695	94.11	276296	272152	92.57	269760	91.75
GT1-7236-T2-ITS	309593	289442	93.49	289215	279525	90.29	275190	88.89
GT1-7384-T2-ITS	325472	306380	94.13	305973	298644	91.76	292687	89.93
GT2-7297-T2-ITS	422779	397639	94.05	397036	389735	92.18	387046	91.55
GT2-7573-T2-ITS	356788	335938	94.16	335513	328662	92.12	325866	91.33
GT5-7107-T2-ITS	239917	223391	93.11	223137	219016	91.29	216930	90.42
GT5-7253-T2-ITS	393564	369751	93.95	369280	357411	90.81	353100	89.72
GT6-7349-T2-ITS	335178	313458	93.52	312945	302424	90.23	296603	88.49
GT6-7618-T2-ITS	341262	317055	92.91	316479	307161	90.01	302489	88.64
GT8-7009-T2-ITS	372301	347618	93.37	347106	342237	91.92	337967	90.78
GT8-7254-T2-ITS	291285	274276	94.16	274031	269420	92.49	267987	92
RM1-7523-T2-ITS	232069	217904	93.9	217697	213376	91.95	212313	91.49
RM1-7665-T2-ITS	563757	527652	93.6	527052	513075	91.01	509444	90.37
RM10-7352-T2-ITS	415207	390104	93.95	389645	381714	91.93	379016	91.28
RM3-7538-T2-ITS	347599	319183	91.83	318858	312437	89.88	310188	89.24
RM3-7623-T2-ITS	332258	310384	93.42	310010	303671	91.4	301868	90.85
RM4-7411-T2-ITS	354640	331798	93.56	331496	322510	90.94	319569	90.11
RM4-7620-T2-ITS	285681	264448	92.57	264189	257385	90.1	255649	89.49
RM6-7031-T2-ITS	225205	211906	94.09	211743	207004	91.92	205646	91.32
RM6-7203-T2-ITS	514699	483687	93.97	483059	467477	90.83	462241	89.81
