sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
BE3-7237-T3-ITS	276564	257055	92.95	256720	254484	92.02	252720	91.38
BE3-7245-T3-ITS	404406	365915	90.48	365339	363759	89.95	361346	89.35
BE4-7267-T3-ITS	456126	413400	90.63	412489	410795	90.06	405113	88.82
BE4-7663-T3-ITS	389412	355598	91.32	354964	344934	88.58	340697	87.49
BE5-7146-T3-ITS	311992	284728	91.26	284126	281805	90.32	279056	89.44
BE5-7334-T3-ITS	369887	337557	91.26	336718	333838	90.25	329811	89.17
BE7-7019-T1-ITS	276306	251162	90.9	250873	249757	90.39	247897	89.72
BE7-7019-T3-ITS	410794	355510	86.54	355122	353472	86.05	350676	85.37
BE7-7378-T1-ITS	147602	135587	91.86	135441	134990	91.46	134713	91.27
BE7-7585-T3-ITS	398593	364814	91.53	364039	362667	90.99	357844	89.78
BW2-7362-T3-ITS	352114	318515	90.46	317658	316519	89.89	312129	88.64
BW2-7628-T3-ITS	421348	386677	91.77	386134	384627	91.28	379987	90.18
BW3-7429-T3-ITS	403726	367133	90.94	366462	361913	89.64	358140	88.71
BW3-7594-T1-ITS	268887	246508	91.68	246075	242449	90.17	240897	89.59
BW6-7173-T3-ITS	314688	279511	88.82	279091	276133	87.75	270563	85.98
BW7-7366-T3-ITS	413268	378213	91.52	377576	376002	90.98	370880	89.74
BW7-7593-T3-ITS	288161	267188	92.72	266917	265584	92.17	264539	91.8
CG2-7148-T3-ITS	452690	413352	91.31	412568	408602	90.26	406116	89.71
CG2-7208-T3-ITS	335958	304724	90.7	304340	302739	90.11	301169	89.64
CG3-7376-T3-ITS	463563	426025	91.9	425135	423047	91.26	415051	89.53
CG3-7651-T3-ITS	321538	293678	91.34	293039	291019	90.51	289544	90.05
CG4-7218-T1-ITS	98725	90859	92.03	90681	90372	91.54	90171	91.34
CG4-7425-T3-ITS	367592	330124	89.81	329473	327879	89.2	325727	88.61
CG6-7014-T3-ITS	359722	323339	89.89	322658	320922	89.21	318048	88.41
CG6-7344-T3-ITS	272654	248026	90.97	247654	246446	90.39	243572	89.33
CG7-7434-T3-ITS	327610	295248	90.12	294474	293016	89.44	290488	88.67
CG7-7655-T3-ITS	396328	362587	91.49	361857	360011	90.84	357783	90.27
CG8-7084-T3-ITS	373303	341894	91.59	341069	338757	90.75	333303	89.28
CG8-7522-T3-ITS	317493	288027	90.72	287249	286169	90.13	283480	89.29
CR10-7431-T3-ITS	479496	433630	90.43	432844	431231	89.93	427160	89.09
CR10-7497-T1-ITS	242147	221163	91.33	220795	220163	90.92	219238	90.54
CR3-7338-T1-ITS	180683	166581	92.2	166231	165616	91.66	165155	91.41
CR3-7338-T3-ITS	367984	340856	92.63	340584	334364	90.86	325655	88.5
CR4-7143-T3-ITS	424842	387004	91.09	386145	384253	90.45	380629	89.59
CR4-7211-T3-ITS	200073	179832	89.88	179216	177261	88.6	176667	88.3
CR7-7183-T3-ITS	488217	447712	91.7	446965	444452	91.04	441301	90.39
CR7-7652-T3-ITS	414652	381587	92.03	381167	378355	91.25	375975	90.67
CR9-7298-T3-ITS	295322	274521	92.96	273770	271859	92.06	269265	91.18
CR9-7469-T1-ITS	272664	251750	92.33	251353	250072	91.71	249114	91.36
CR9-7469-T3-ITS	253545	232847	91.84	232202	230384	90.87	229332	90.45
EP3-Syn-Rep1-T1-ITS	183092	100781	55.04	100780	92144	50.33	92144	50.33
EP8-Amp-Blank-T3-ITS	3202	2584	80.7	2576	2576	80.45	2576	80.45
EP8-DNAblank-T3-ITS	4020	3669	91.27	3668	3668	91.24	3668	91.24
EP8-Idx-Blank-T3-ITS	31506	22658	71.92	22656	21913	69.55	15095	47.91
EP8-Pine-Rep1-T3-ITS	326927	297721	91.07	297265	292457	89.46	289765	88.63
EP8-Pine-Rep2-T3-ITS	349968	319509	91.3	318941	317504	90.72	314850	89.97
EP8-Pine-Rep3-T3-ITS	413985	376635	90.98	376256	373146	90.14	370049	89.39
EP8-Syn-Extr-T3-ITS	301171	166254	55.2	166250	150852	50.09	150852	50.09
EP8-Syn-Rep1-T3-ITS	281127	148442	52.8	148441	134268	47.76	134268	47.76
EP8-Syn-Rep2-T3-ITS	292659	151334	51.71	151331	137759	47.07	137759	47.07
EP8-Syn-Rep3-T3-ITS	283241	147195	51.97	146839	133357	47.08	133357	47.08
EP8-Syn-Rep4-T3-ITS	241493	124218	51.44	124216	112658	46.65	112658	46.65
GC2-7078-T3-ITS	352680	322681	91.49	322062	320014	90.74	317977	90.16
GC2-7276-T3-ITS	293889	266808	90.79	266447	265202	90.24	261911	89.12
GC2-7507-T1-ITS	144939	131810	90.94	131680	130757	90.22	129431	89.3
GC5-7089-T1-ITS	104397	96075	92.03	95826	94662	90.68	93564	89.62
GC5-7178-T1-ITS	206034	190465	92.44	190086	189495	91.97	188876	91.67
GC5-7178-T3-ITS	381738	348256	91.23	347712	345390	90.48	341165	89.37
GC5-7457-T3-ITS	340531	310929	91.31	310180	302596	88.86	299469	87.94
GC8-7377-T1-ITS	115884	105453	91	105305	104878	90.5	104413	90.1
GC8-7501-T1-ITS	85062	78672	92.49	78497	78177	91.91	78005	91.7
GC8-7501-T3-ITS	343863	311361	90.55	310897	309213	89.92	306645	89.18
GC9-7275-T3-ITS	378504	336840	88.99	336049	334609	88.4	332852	87.94
GC9-7589-T3-ITS	357605	326071	91.18	325569	323860	90.56	319192	89.26
GE1-7087-T3-ITS	339488	308507	90.87	308113	306928	90.41	299718	88.29
GE1-7112-T3-ITS	273433	248334	90.82	247836	245738	89.87	243839	89.18
GE2-7530-T1-ITS	213953	193826	90.59	193539	191727	89.61	190644	89.11
GE2-7555-T3-ITS	308408	284250	92.17	283814	280671	91.01	278108	90.18
GE6-7205-T3-ITS	258842	233520	90.22	232868	231841	89.57	229386	88.62
GE6-7213-T3-ITS	413446	380443	92.02	379613	377874	91.4	374382	90.55
GE8-7242-T3-ITS	439219	401226	91.35	400722	399157	90.88	396456	90.26
GE8-7333-T3-ITS	386030	354764	91.9	353924	351339	91.01	349359	90.5
GE9-7053-T3-ITS	261173	240229	91.98	239655	238667	91.38	236803	90.67
GT1-7236-T3-ITS	253415	229944	90.74	229373	227408	89.74	224248	88.49
GT1-7407-T3-ITS	273544	249696	91.28	249090	248098	90.7	245834	89.87
GT2-7210-T1-ITS	236932	216043	91.18	215824	214988	90.74	213234	90
GT2-7210-T3-ITS	251019	228692	91.11	228199	227152	90.49	224862	89.58
GT2-7297-T3-ITS	254145	234117	92.12	233520	232591	91.52	231427	91.06
GT5-7107-T3-ITS	302004	268891	89.04	268201	266995	88.41	263072	87.11
GT5-7309-T3-ITS	340694	297102	87.2	296570	294636	86.48	292982	86
GT6-7595-T3-ITS	378389	346555	91.59	345774	344258	90.98	340319	89.94
GT6-7618-T3-ITS	363041	321832	88.65	321185	319548	88.02	314833	86.72
GT8-7009-T3-ITS	414782	380839	91.82	380225	378610	91.28	372976	89.92
GT8-7254-T1-ITS	114311	105249	92.07	105135	104709	91.6	104339	91.28
GT8-7341-T3-ITS	388337	354568	91.3	354103	352649	90.81	347827	89.57
RM1-7145-T3-ITS	435692	400540	91.93	399906	389249	89.34	384619	88.28
RM1-7665-T1-ITS	397178	364240	91.71	363788	361454	91.01	359770	90.58
RM10-7202-T3-ITS	312565	283712	90.77	283002	281806	90.16	278821	89.2
RM10-7402-T3-ITS	414245	376639	90.92	376042	374067	90.3	368648	88.99
RM3-7115-T1-ITS	189039	172159	91.07	171978	171449	90.7	169839	89.84
RM3-7538-T1-ITS	229962	208390	90.62	208173	207170	90.09	205557	89.39
RM3-7623-T3-ITS	376321	343848	91.37	343391	341563	90.76	337546	89.7
RM4-7436-T1-ITS	210754	190591	90.43	190471	189817	90.07	188717	89.54
RM4-7436-T3-ITS	357839	324956	90.81	324224	322723	90.19	317323	88.68
RM4-7620-T3-ITS	389724	356703	91.53	356091	343942	88.25	341540	87.64
RM6-7120-T3-ITS	337408	304243	90.17	303595	301466	89.35	296793	87.96
RM6-7203-T3-ITS	329846	297480	90.19	296804	294947	89.42	292282	88.61
