sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
AC1-7050-T3-ITS	344228	314786	91.45	314242	312382	90.75	308472	89.61
AC1-7329-T3-ITS	254720	231268	90.79	230684	229803	90.22	229021	89.91
AC2-7049-T3-ITS	389058	355602	91.4	355102	353415	90.84	349739	89.89
AC2-7464-T3-ITS	353573	323670	91.54	323177	317054	89.67	312925	88.5
AC7-7439-T3-ITS	400327	354344	88.51	353742	351937	87.91	350045	87.44
AC7-7592-T3-ITS	508947	464756	91.32	464329	451103	88.63	444069	87.25
AC8-7174-T3-ITS	405811	368758	90.87	367975	365901	90.17	363204	89.5
AC8-7184-T3-ITS	546885	494568	90.43	493936	488070	89.25	479916	87.75
AC8-7541-T1-ITS	255836	235686	92.12	235449	233857	91.41	232748	90.98
AC9-7142-T1-ITS	0	0	0	0	0	0	0	0
AC9-7142-T3-ITS	335092	307633	91.81	306875	305662	91.22	302347	90.23
AC9-7660-T3-ITS	268367	246540	91.87	246123	244826	91.23	243596	90.77
BB1-7504-T3-ITS	352465	320119	90.82	319367	318049	90.24	314121	89.12
BB2-7590-T3-ITS	444362	400620	90.16	400056	397011	89.34	391773	88.17
BB3-7657-T3-ITS	303191	278513	91.86	278146	276760	91.28	273668	90.26
BB5-7171-T3-ITS	393837	360754	91.6	360336	348534	88.5	341895	86.81
BB5-7412-T1-ITS	187886	171639	91.35	171440	170103	90.54	168727	89.8
BB5-7600-T3-ITS	367881	337557	91.76	336999	330852	89.93	324322	88.16
BB7-7181-T3-ITS	612262	535899	87.53	535257	533234	87.09	530520	86.65
BB7-7268-T3-ITS	517407	474080	91.63	473321	470550	90.94	464781	89.83
BE2-7141-T3-ITS	336194	308699	91.82	308368	302613	90.01	299936	89.22
BE2-7500-T3-ITS	729050	668391	91.68	667559	662922	90.93	657205	90.15
BE2-7510-T1-ITS	231103	213036	92.18	212874	211037	91.32	210543	91.1
