sample ID	forward sequence count	reverse sequence count
AC2-7049-T1-ITS	173368	173368
AC2-7474-T1-ITS	188070	188070
AC7-7032-T1-ITS	200691	200691
AC7-7439-T1-ITS	190515	190515
AC8-7184-T1-ITS	92709	92709
AC9-7346-T1-ITS	202886	202886
AC9-7660-T1-ITS	227388	227388
BB1-7504-T1-ITS	169273	169273
BB2-7055-T1-ITS	157280	157280
BB2-7542-T1-ITS	164023	164023
BB3-7126-T1-ITS	142647	142647
BB3-7657-T1-ITS	104820	104820
BB5-7600-T1-ITS	111708	111708
BB7-7181-T1-ITS	273149	273149
BB7-7224-T1-ITS	127234	127234
BE2-7500-T1-ITS	92905	92905
BE3-7156-T1-ITS	164068	164068
BE3-7245-T1-ITS	96217	96217
BE4-7607-T1-ITS	159028	159028
BE4-7663-T1-ITS	159610	159610
BE5-7132-T1-ITS	128284	128284
BE5-7146-T1-ITS	166319	166319
BE5-7509-T1-ITS	148239	148239
BW10-7534-T1-ITS	162417	162417
BW10-7633-T1-ITS	147467	147467
BW2-7025-T1-ITS	137771	137771
BW2-7628-T1-ITS	214183	214183
BW3-7101-T1-ITS	152017	152017
BW6-7035-T1-ITS	160860	160860
BW6-7284-T1-ITS	261059	261059
BW6-7567-T1-ITS	143653	143653
BW7-7506-T1-ITS	62368	62368
BW7-7593-T1-ITS	209975	209975
CG2-7148-T1-ITS	244189	244189
CG2-7160-T1-ITS	116622	116622
CG3-7376-T1-ITS	91038	91038
CG3-7382-T1-ITS	72728	72728
CG4-7406-T1-ITS	218780	218780
CG7-7434-T1-ITS	135870	135870
CG7-7574-T1-ITS	99746	99746
CG8-7084-T1-ITS	151182	151182
CG8-7544-T1-ITS	160246	160246
CR10-7348-T1-ITS	245728	245728
CR3-7445-T1-ITS	372242	372242
CR4-7143-T1-ITS	122920	122920
CR4-7211-T1-ITS	198651	198651
CR4-7671-T1-ITS	235017	235017
CR7-7154-T1-ITS	222886	222886
CR7-7183-T1-ITS	137527	137527
CR9-7320-T1-ITS	164021	164021
EP1-Pine-Rep1-T1-ITS	377537	377537
EP1-Pine-Rep2-T1-ITS	204743	204743
EP1-Pine-Rep3-T1-ITS	171110	171110
EP1-Syn-Rep1-T1-ITS	91686	91686
EP1-Syn-Rep2-T1-ITS	89227	89227
EP1-Syn-Rep3-T1-ITS	71272	71272
EP1-Syn-Rep4-T1-ITS	47145	47145
EP3-Amp-Blank-T1-ITS	157	157
EP3-Pine-Rep1-T1-ITS	489069	489069
EP3-Pine-Rep2-T1-ITS	421231	421231
EP3-Syn-Extr-T1-ITS	167288	167288
EP3-Syn-Rep2-T1-ITS	340833	340833
EP3-Syn-Rep3-T1-ITS	348006	348006
EP3-Syn-Rep4-T1-ITS	281321	281321
GC1-7085-T1-ITS	263100	263100
GC1-7128-T1-ITS	173036	173036
GC2-7276-T1-ITS	138652	138652
GC9-7275-T1-ITS	312168	312168
GC9-7537-T1-ITS	155073	155073
GC9-7589-T1-ITS	168601	168601
GE1-7087-T1-ITS	136429	136429
GE1-7112-T1-ITS	4472628	4472628
GE1-7638-T1-ITS	145927	145927
GE2-7383-T1-ITS	199861	199861
GE2-7483-T1-ITS	226719	226719
GE6-7186-T1-ITS	140085	140085
GE6-7213-T1-ITS	170598	170598
GE7-7575-T1-ITS	123862	123862
GE7-7658-T1-ITS	180245	180245
GE9-7053-T1-ITS	186340	186340
GE9-7480-T1-ITS	127894	127894
GT1-7384-T1-ITS	162672	162672
GT1-7407-T1-ITS	279912	279912
GT2-7573-T1-ITS	320824	320824
GT5-7107-T1-ITS	151613	151613
GT5-7309-T1-ITS	337303	337303
GT6-7349-T1-ITS	247721	247721
GT6-7595-T1-ITS	88274	88274
GT8-7009-T1-ITS	220522	220522
GT8-7341-T1-ITS	161749	161749
GT8-7420-T1-ITS	152865	152865
RM1-7145-T1-ITS	211666	211666
RM10-7352-T1-ITS	408554	408554
RM10-7402-T1-ITS	162204	162204
RM4-7411-T1-ITS	267211	267211
RM6-7031-T1-ITS	121904	121904
RM6-7120-T1-ITS	171353	171353
