AC1-7050-T1-ITS	T3_run6_new	ITS	0
AC1-7050-T3-ITS	T3_run6_new	ITS	360562
AC1-7329-T3-ITS	T3_run6_new	ITS	271500
AC2-7049-T3-ITS	T3_run6_new	ITS	405701
AC2-7464-T3-ITS	T3_run6_new	ITS	377122
AC7-7439-T3-ITS	T3_run6_new	ITS	418913
AC7-7592-T3-ITS	T3_run6_new	ITS	535774
AC8-7174-T3-ITS	T3_run6_new	ITS	433868
AC8-7184-T3-ITS	T3_run6_new	ITS	579717
AC8-7541-T1-ITS	T3_run6_new	ITS	322396
AC9-7142-T1-ITS	T3_run6_new	ITS	227474
AC9-7142-T3-ITS	T3_run6_new	ITS	347304
AC9-7660-T3-ITS	T3_run6_new	ITS	282075
BB1-7504-T3-ITS	T3_run6_new	ITS	376436
BB2-7590-T3-ITS	T3_run6_new	ITS	466235
BB3-7657-T3-ITS	T3_run6_new	ITS	316482
BB5-7171-T3-ITS	T3_run6_new	ITS	413233
BB5-7412-T1-ITS	T3_run6_new	ITS	231917
BB5-7600-T3-ITS	T3_run6_new	ITS	386906
BB7-7181-T3-ITS	T3_run6_new	ITS	643988
BB7-7268-T3-ITS	T3_run6_new	ITS	541630
BE2-7141-T3-ITS	T3_run6_new	ITS	350528
BE2-7500-T3-ITS	T3_run6_new	ITS	764634
BE2-7510-T1-ITS	T3_run6_new	ITS	328936
BE3-7237-T3-ITS	T3_run6_new	ITS	294925
BE3-7245-T3-ITS	T3_run6_new	ITS	423382
BE4-7267-T3-ITS	T3_run6_new	ITS	481185
BE4-7663-T3-ITS	T3_run6_new	ITS	418347
BE5-7146-T3-ITS	T3_run6_new	ITS	326686
BE5-7334-T3-ITS	T3_run6_new	ITS	391317
BE7-7019-T1-ITS	T3_run6_new	ITS	302394
BE7-7019-T3-ITS	T3_run6_new	ITS	436765
BE7-7378-T1-ITS	T3_run6_new	ITS	229629
BE7-7585-T3-ITS	T3_run6_new	ITS	414559
BW2-7362-T3-ITS	T3_run6_new	ITS	377460
BW2-7628-T3-ITS	T3_run6_new	ITS	443257
BW3-7429-T3-ITS	T3_run6_new	ITS	433105
BW3-7594-T1-ITS	T3_run6_new	ITS	331632
BW6-7173-T3-ITS	T3_run6_new	ITS	383312
BW7-7366-T3-ITS	T3_run6_new	ITS	432836
BW7-7593-T3-ITS	T3_run6_new	ITS	311816
CG2-7148-T3-ITS	T3_run6_new	ITS	490042
CG2-7208-T3-ITS	T3_run6_new	ITS	366559
CG3-7376-T3-ITS	T3_run6_new	ITS	482109
CG3-7651-T3-ITS	T3_run6_new	ITS	336457
CG4-7218-T1-ITS	T3_run6_new	ITS	223571
