sample ID	forward sequence count	reverse sequence count
AC1-7230-T3-ITS	358179	358179
AC7-7032-T3-ITS	390758	390758
AC7-7611-T3-ITS	191121	191121
AC8-7453-T3-ITS	309478	309478
AC8-7541-T3-ITS	423562	423562
AC9-7099-T3-ITS	244377	244377
AC9-7346-T3-ITS	256265	256265
BB1-7232-T3-ITS	327127	327127
BB1-7238-T3-ITS	499441	499441
BB1-7409-T3-ITS	316738	316738
BB2-7039-T3-ITS	258463	258463
BB2-7055-T3-ITS	363287	363287
BB2-7542-T3-ITS	406108	406108
BB3-7126-T3-ITS	246067	246067
BB5-7326-T3-ITS	469423	469423
BB5-7412-T3-ITS	259376	259376
BB7-7224-T3-ITS	321003	321003
BB7-7227-T3-ITS	432306	432306
BE2-7069-T3-ITS	301110	301110
BE2-7510-T3-ITS	319328	319328
BE3-7156-T3-ITS	398248	398248
BE3-7514-T3-ITS	200830	200830
BE4-7003-T3-ITS	381099	381099
BE4-7607-T3-ITS	208886	208886
BE5-7132-T3-ITS	308236	308236
BE5-7509-T3-ITS	306459	306459
BE7-7378-T3-ITS	292224	292224
BE7-7455-T3-ITS	316712	316712
BW10-7357-T3-ITS	404886	404886
BW10-7396-T3-ITS	356317	356317
BW10-7534-T3-ITS	376126	376126
BW10-7633-T3-ITS	300418	300418
BW2-7025-T3-ITS	283275	283275
BW2-7261-T3-ITS	377886	377886
BW3-7101-T3-ITS	371848	371848
BW3-7594-T3-ITS	274807	274807
BW6-7035-T3-ITS	370016	370016
BW6-7284-T3-ITS	241957	241957
BW6-7567-T3-ITS	371047	371047
BW7-7506-T3-ITS	270720	270720
BW7-7581-T3-ITS	422339	422339
CG2-7072-T3-ITS	327716	327716
CG2-7160-T3-ITS	327155	327155
CG3-7382-T3-ITS	447839	447839
CG3-7515-T3-ITS	528686	528686
CG4-7097-T3-ITS	347666	347666
CG4-7218-T3-ITS	411032	411032
CG4-7406-T3-ITS	437649	437649
CG6-7551-T3-ITS	403680	403680
CG7-7197-T3-ITS	369786	369786
CG7-7574-T3-ITS	307272	307272
CG8-7544-T3-ITS	268831	268831
CR10-7348-T3-ITS	541876	541876
CR10-7497-T3-ITS	252408	252408
CR10-7549-T3-ITS	304582	304582
CR3-7445-T3-ITS	370590	370590
CR3-7619-T3-ITS	248653	248653
CR3-7642-T3-ITS	438519	438519
CR4-7135-T3-ITS	300018	300018
CR4-7671-T3-ITS	304792	304792
CR7-7154-T3-ITS	214524	214524
CR7-7648-T3-ITS	211240	211240
CR9-7320-T3-ITS	276661	276661
CR9-7389-T3-ITS	352848	352848
EP7-Amp-Blank-T3-ITS	28103	28103
EP7-DNAblank-T3-ITS	91426	91426
EP7-Idx-Blank-T3-ITS	12530	12530
EP7-Pine-Rep1-T3-ITS	263015	263015
EP7-Pine-Rep2-T3-ITS	356249	356249
EP7-Pine-Rep3-T3-ITS	156463	156463
EP7-Syn-Extr-T3-ITS	174200	174200
EP7-Syn-Rep1-T3-ITS	161530	161530
EP7-Syn-Rep2-T3-ITS	208535	208535
EP7-Syn-Rep3-T3-ITS	237741	237741
EP7-Syn-Rep4-T3-ITS	151838	151838
EP9-Amp-Blank-T3-ITS	0	0
EP9-DNAblank-T3-ITS	16898	16898
EP9-Idx-Blank-T3-ITS	5	5
EP9-Pine-Rep1-T3-ITS	425389	425389
EP9-Pine-Rep2-T3-ITS	375572	375572
EP9-Pine-Rep3-T3-ITS	446995	446995
EP9-Syn-Extr-T3-ITS	279416	279416
EP9-Syn-Rep1-T3-ITS	205763	205763
EP9-Syn-Rep2-T3-ITS	223257	223257
EP9-Syn-Rep3-T3-ITS	188155	188155
EP9-Syn-Rep4-T3-ITS	261081	261081
GC1-7085-T3-ITS	356961	356961
GC1-7128-T3-ITS	408556	408556
GC1-7294-T3-ITS	343902	343902
GC1-7368-T3-ITS	519687	519687
GC2-7136-T3-ITS	490679	490679
GC2-7507-T3-ITS	427070	427070
GC5-7089-T3-ITS	355485	355485
GC8-7367-T3-ITS	355190	355190
GC8-7377-T3-ITS	267242	267242
GC8-7582-T3-ITS	356408	356408
GC9-7100-T3-ITS	507498	507498
GC9-7537-T3-ITS	322548	322548
GE1-7638-T3-ITS	200170	200170
GE1-7647-T3-ITS	352894	352894
GE2-7383-T3-ITS	273508	273508
GE2-7483-T3-ITS	343773	343773
GE2-7530-T3-ITS	380038	380038
GE6-7040-T3-ITS	336471	336471
GE6-7186-T3-ITS	355810	355810
GE7-7423-T3-ITS	240456	240456
GE7-7427-T3-ITS	380039	380039
GE7-7575-T3-ITS	348658	348658
GE7-7658-T3-ITS	315022	315022
GE8-7645-T3-ITS	341281	341281
GE9-7002-T3-ITS	309280	309280
GE9-7272-T3-ITS	387508	387508
GE9-7480-T3-ITS	310257	310257
GT1-7384-T3-ITS	349732	349732
GT1-7482-T3-ITS	346746	346746
GT2-7200-T3-ITS	534208	534208
GT2-7573-T3-ITS	327178	327178
GT5-7253-T3-ITS	296293	296293
GT5-7456-T3-ITS	340305	340305
GT6-7349-T3-ITS	325654	325654
GT6-7486-T3-ITS	275378	275378
GT8-7254-T3-ITS	341819	341819
GT8-7420-T3-ITS	306057	306057
RM1-7391-T3-ITS	289614	289614
RM1-7523-T3-ITS	389964	389964
RM1-7665-T3-ITS	283769	283769
RM10-7324-T3-ITS	389030	389030
RM10-7352-T3-ITS	298472	298472
RM3-7115-T3-ITS	322105	322105
RM3-7538-T3-ITS	238917	238917
RM3-7609-T3-ITS	305563	305563
RM4-7358-T3-ITS	312250	312250
RM4-7411-T3-ITS	521819	521819
RM6-7031-T3-ITS	176196	176196
RM6-7065-T3-ITS	396015	396015
