sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
BW3-7429-T1-ITS	213268	203255	95.3	202920	197786	92.74	195907	91.86
BW6-7173-T1-ITS	234220	222693	95.08	222366	219523	93.73	218247	93.18
BW7-7366-T1-ITS	88472	84415	95.41	84082	82712	93.49	82256	92.97
BW7-7581-T1-ITS	258233	247522	95.85	246978	242746	94	241303	93.44
CG2-7072-T1-ITS	252106	239840	95.13	239580	234811	93.14	232871	92.37
CG2-7208-T1-ITS	283088	268788	94.95	268392	261503	92.38	259340	91.61
CG3-7651-T1-ITS	381338	361263	94.74	360886	353662	92.74	351269	92.11
CG4-7097-T1-ITS	326433	309676	94.87	309523	302468	92.66	298822	91.54
CG4-7425-T1-ITS	296937	284533	95.82	283918	279914	94.27	277900	93.59
CG7-7197-T1-ITS	168145	159950	95.13	159597	156453	93.05	154801	92.06
CG7-7655-T1-ITS	164704	157169	95.43	156862	154479	93.79	153512	93.2
CG8-7522-T1-ITS	270008	257240	95.27	256887	247797	91.77	246009	91.11
CR10-7431-T1-ITS	472082	450945	95.52	450229	443625	93.97	440597	93.33
CR10-7549-T1-ITS	332882	316375	95.04	315809	309743	93.05	307504	92.38
CR3-7619-T1-ITS	341851	327196	95.71	326840	322451	94.33	321535	94.06
CR3-7642-T1-ITS	351700	339131	96.43	338622	332796	94.62	330876	94.08
CR4-7135-T1-ITS	168294	160569	95.41	160155	157262	93.44	156633	93.07
CR7-7648-T1-ITS	472991	447335	94.58	446964	436422	92.27	433820	91.72
CR7-7652-T1-ITS	281035	268376	95.5	267881	264503	94.12	263526	93.77
CR9-7298-T1-ITS	301463	286857	95.15	286648	283085	93.9	281724	93.45
CR9-7389-T1-ITS	162582	154887	95.27	154387	151455	93.16	150717	92.7
EP2-DNAblank-T1-ITS	61	59	96.72	40	37	60.66	37	60.66
EP2-Idx-Blank-T1-ITS	276	263	95.29	241	239	86.59	239	86.59
EP2-Pine-Rep1-T1-ITS	235323	224412	95.36	224058	220312	93.62	218951	93.04
EP2-Pine-Rep2-T1-ITS	259123	246907	95.29	246517	241811	93.32	239867	92.57
EP2-Pine-Rep3-T1-ITS	615845	588728	95.6	588148	576045	93.54	569812	92.53
EP2-Syn-Extr-T1-ITS	221311	149809	67.69	149804	148936	67.3	148936	67.3
EP2-Syn-Rep1-T1-ITS	246056	166217	67.55	166205	165096	67.1	165096	67.1
EP2-Syn-Rep2-T1-ITS	82501	59021	71.54	58978	58736	71.19	58736	71.19
EP2-Syn-Rep3-T1-ITS	446442	319208	71.5	319208	315563	70.68	315563	70.68
EP2-Syn-Rep4-T1-ITS	324179	230664	71.15	230552	229235	70.71	228821	70.58
GC1-7294-T1-ITS	128680	121527	94.44	121289	119099	92.55	118535	92.12
GC1-7368-T1-ITS	539421	513724	95.24	513109	501093	92.89	496836	92.11
GC2-7078-T1-ITS	345376	330022	95.55	329524	324201	93.87	321866	93.19
GC2-7136-T1-ITS	302601	286700	94.75	286241	281583	93.05	277483	91.7
GC5-7457-T1-ITS	689247	654562	94.97	653541	641657	93.1	636888	92.4
GC8-7367-T1-ITS	105145	100463	95.55	100177	98516	93.7	98121	93.32
GC8-7582-T1-ITS	272234	258914	95.11	258236	254017	93.31	252240	92.66
GC9-7100-T1-ITS	311456	296633	95.24	296190	290514	93.28	288482	92.62
GE1-7647-T1-ITS	242026	232506	96.07	231935	225792	93.29	223955	92.53
GE2-7555-T1-ITS	619779	589633	95.14	589171	578812	93.39	574023	92.62
GE6-7040-T1-ITS	437383	414849	94.85	414358	407453	93.16	403816	92.33
GE6-7205-T1-ITS	463401	440861	95.14	440374	432047	93.23	428340	92.43
GE7-7423-T1-ITS	371165	353487	95.24	352837	344312	92.77	340787	91.82
GE7-7427-T1-ITS	166958	159302	95.41	158982	156384	93.67	154894	92.77
GE9-7002-T1-ITS	84168	79719	94.71	79427	77865	92.51	77541	92.13
GE9-7272-T1-ITS	172772	164510	95.22	164072	161730	93.61	160649	92.98
GT1-7236-T1-ITS	123127	117553	95.47	117227	115383	93.71	114498	92.99
GT1-7482-T1-ITS	244857	234500	95.77	233924	229722	93.82	226892	92.66
GT2-7200-T1-ITS	151200	144287	95.43	143890	140364	92.83	139420	92.21
GT2-7297-T1-ITS	350118	329784	94.19	329306	320723	91.6	318890	91.08
GT5-7456-T1-ITS	330905	312825	94.54	312309	306281	92.56	303436	91.7
GT6-7486-T1-ITS	114010	108589	95.25	108368	106396	93.32	105788	92.79
GT6-7618-T1-ITS	387624	369352	95.29	368925	360691	93.05	358874	92.58
RM1-7391-T1-ITS	142892	136319	95.4	135988	133772	93.62	132430	92.68
RM1-7523-T1-ITS	398796	378162	94.83	377535	370515	92.91	366927	92.01
RM10-7202-T1-ITS	175613	167273	95.25	166749	163513	93.11	161019	91.69
RM10-7324-T1-ITS	432444	412052	95.28	411245	400696	92.66	395794	91.52
RM3-7609-T1-ITS	222450	213237	95.86	213067	209186	94.04	208387	93.68
RM3-7623-T1-ITS	255240	242580	95.04	241925	237311	92.98	234229	91.77
RM4-7358-T1-ITS	111256	106103	95.37	105738	103747	93.25	102977	92.56
RM4-7620-T1-ITS	471990	445965	94.49	445598	436423	92.46	433913	91.93
RM6-7065-T1-ITS	276334	264089	95.57	263597	256768	92.92	255053	92.3
RM6-7203-T1-ITS	270265	256255	94.82	255924	250404	92.65	248571	91.97
