sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
AC1-7230-T1-ITS	336318	320006	95.15	319587	312932	93.05	310819	92.42
AC1-7329-T1-ITS	264800	253593	95.77	253226	246206	92.98	244947	92.5
AC2-7291-T1-ITS	325917	312297	95.82	311850	306419	94.02	304329	93.38
AC2-7464-T1-ITS	255472	242519	94.93	242170	237154	92.83	236015	92.38
AC7-7592-T1-ITS	466297	443892	95.2	443591	435471	93.39	431991	92.64
AC7-7611-T1-ITS	620001	589285	95.05	588946	579466	93.46	573904	92.57
AC8-7174-T1-ITS	110252	105310	95.52	104972	102993	93.42	102036	92.55
AC8-7453-T1-ITS	176112	167126	94.9	166844	163658	92.93	162212	92.11
AC9-7099-T1-ITS	320586	307093	95.79	306794	301611	94.08	299349	93.38
BB1-7232-T1-ITS	331192	316342	95.52	315884	309844	93.55	307744	92.92
BB1-7238-T1-ITS	600099	570755	95.11	570170	560942	93.47	555655	92.59
BB2-7039-T1-ITS	783978	746379	95.2	745124	732744	93.46	725487	92.54
BB2-7590-T1-ITS	189324	180782	95.49	180569	178495	94.28	177023	93.5
BB5-7171-T1-ITS	305792	291016	95.17	290719	284340	92.98	282573	92.41
BB5-7326-T1-ITS	260884	248339	95.19	247913	243938	93.5	242561	92.98
BB7-7227-T1-ITS	348500	330954	94.97	330341	321290	92.19	318014	91.25
BB7-7268-T1-ITS	442873	421943	95.27	421322	412845	93.22	407831	92.09
BE2-7069-T1-ITS	496766	470953	94.8	470203	460554	92.71	457356	92.07
BE2-7141-T1-ITS	700768	667941	95.32	667294	654574	93.41	645568	92.12
BE3-7237-T1-ITS	421551	404020	95.84	403372	396599	94.08	393175	93.27
BE3-7514-T1-ITS	288718	275111	95.29	274692	268759	93.09	267255	92.57
BE4-7003-T1-ITS	181335	173768	95.83	173250	167932	92.61	167316	92.27
BE4-7267-T1-ITS	523798	498464	95.16	497959	490734	93.69	485782	92.74
BE5-7334-T1-ITS	240562	230240	95.71	229788	226661	94.22	225529	93.75
BE7-7455-T1-ITS	260311	249171	95.72	248754	244417	93.89	242961	93.33
BE7-7585-T1-ITS	631553	603741	95.6	603086	583383	92.37	577621	91.46
BW10-7357-T1-ITS	244361	232102	94.98	231676	227240	92.99	225219	92.17
BW10-7396-T1-ITS	343777	325510	94.69	325047	321160	93.42	319510	92.94
BW2-7261-T1-ITS	259641	246149	94.8	245666	241893	93.16	240712	92.71
BW2-7362-T1-ITS	51614	49408	95.73	49221	48291	93.56	48162	93.31
