sample ID	forward sequence count	reverse sequence count
AC1-7050-T2-ITS	312056	312056
AC1-7230-T2-ITS	658758	658758
AC2-7049-T2-ITS	154948	154948
AC2-7291-T2-ITS	459827	459827
AC7-7439-T2-ITS	311596	311596
AC7-7611-T2-ITS	382590	382590
AC8-7184-T2-ITS	362791	362791
AC8-7453-T2-ITS	295481	295481
AC9-7099-T2-ITS	380474	380474
AC9-7660-T2-ITS	213001	213001
BB1-7232-T2-ITS	300392	300392
BB1-7504-T2-ITS	696255	696255
BB2-7039-T2-ITS	249428	249428
BB2-7055-T2-ITS	327387	327387
BB2-7542-T2-ITS	389229	389229
BB3-7657-T2-ITS	676178	676178
BB5-7326-T2-ITS	277432	277432
BB5-7600-T2-ITS	266857	266857
BB7-7181-T2-ITS	400072	400072
BB7-7224-T2-ITS	220504	220504
BB7-7227-T2-ITS	513957	513957
BE2-7069-T2-ITS	237863	237863
BE2-7141-T2-ITS	287319	287319
BE2-7500-T2-ITS	271704	271704
BE3-7245-T2-ITS	187882	187882
BE3-7514-T2-ITS	279549	279549
BE4-7003-T2-ITS	584713	584713
BE4-7663-T2-ITS	287745	287745
BE5-7132-T2-ITS	164740	164740
BE5-7146-T2-ITS	278429	278429
BE7-7019-T2-ITS	168618	168618
BE7-7455-T2-ITS	231284	231284
BE7-7585-T2-ITS	251230	251230
BW10-7357-T2-ITS	394869	394869
BW10-7534-T2-ITS	487569	487569
BW10-7633-T2-ITS	351173	351173
BW2-7261-T2-ITS	239127	239127
BW2-7628-T2-ITS	371574	371574
BW3-7101-T2-ITS	360659	360659
BW3-7429-T2-ITS	321560	321560
BW3-7594-T2-ITS	182852	182852
BW6-7035-T2-ITS	170327	170327
BW6-7567-T2-ITS	200607	200607
BW7-7581-T2-ITS	246032	246032
BW7-7593-T2-ITS	384841	384841
CG2-7072-T2-ITS	332361	332361
CG2-7148-T2-ITS	407761	407761
CG3-7376-T2-ITS	263314	263314
CG3-7515-T2-ITS	246890	246890
CG4-7097-T2-ITS	223710	223710
CG4-7218-T2-ITS	219962	219962
CG4-7406-T2-ITS	251392	251392
CG4-7425-T2-ITS	221453	221453
