sample ID	forward sequence count	reverse sequence count
CG6-7344-T2-ITS	807436	807436
CG6-7551-T2-ITS	314398	314398
CG7-7197-T2-ITS	209045	209045
CG7-7434-T2-ITS	227004	227004
CG8-7084-T2-ITS	413941	413941
CR10-7348-T2-ITS	356999	356999
CR10-7497-T2-ITS	350586	350586
CR10-7549-T2-ITS	232854	232854
CR3-7338-T2-ITS	473554	473554
CR3-7642-T2-ITS	256987	256987
CR4-7135-T2-ITS	341862	341862
CR4-7211-T2-ITS	276021	276021
CR7-7183-T2-ITS	309356	309356
CR7-7648-T2-ITS	560054	560054
CR9-7389-T2-ITS	254523	254523
CR9-7469-T2-ITS	224244	224244
EP4-Pine-Rep1-T2-ITS	274650	274650
EP4-Pine-Rep2-T2-ITS	205864	205864
EP4-Pine-Rep3-T2-ITS	722850	722850
EP4-Syn-Extr-T2-ITS	453867	453867
EP4-Syn-Rep1-T2-ITS	187474	187474
EP4-Syn-Rep2-T2-ITS	211926	211926
EP4-Syn-Rep3-T2-ITS	174441	174441
EP4-Syn-Rep4-T2-ITS	397168	397168
EP6-Amp-Blank-T2-ITS	20810	20810
EP6-DNAblank-T2-ITS	1	1
EP6-Idx-Blank-T2-ITS	646	646
EP6-Pine-Rep1-T2-ITS	230543	230543
EP6-Pine-Rep2-T2-ITS	249031	249031
EP6-Pine-Rep3-T2-ITS	204436	204436
EP6-Syn-Extr-T2-ITS	161135	161135
EP6-Syn-Rep1-T2-ITS	154813	154813
EP6-Syn-Rep2-T2-ITS	149435	149435
EP6-Syn-Rep3-T2-ITS	209497	209497
EP6-Syn-Rep4-T2-ITS	145879	145879
GC1-7085-T2-ITS	384664	384664
GC1-7294-T2-ITS	233858	233858
GC2-7136-T2-ITS	300030	300030
GC2-7276-T2-ITS	328040	328040
GC5-7089-T2-ITS	297501	297501
GC5-7178-T2-ITS	557851	557851
GC8-7501-T2-ITS	228346	228346
GC8-7582-T2-ITS	263748	263748
GC9-7100-T2-ITS	254585	254585
GC9-7275-T2-ITS	278509	278509
GE1-7087-T2-ITS	356993	356993
GE1-7647-T2-ITS	304720	304720
GE2-7483-T2-ITS	274691	274691
GE2-7530-T2-ITS	237792	237792
GE2-7555-T2-ITS	271947	271947
GE6-7040-T2-ITS	167405	167405
GE6-7186-T2-ITS	229798	229798
GE6-7213-T2-ITS	309668	309668
GE7-7423-T2-ITS	232028	232028
GE7-7658-T2-ITS	114444	114444
GE8-7242-T2-ITS	191711	191711
GE8-7333-T2-ITS	310122	310122
GE8-7645-T2-ITS	199102	199102
GE9-7002-T2-ITS	711519	711519
GE9-7053-T2-ITS	321462	321462
GT1-7407-T2-ITS	362319	362319
GT1-7482-T2-ITS	469351	469351
GT2-7200-T2-ITS	243229	243229
GT2-7210-T2-ITS	324118	324118
GT5-7309-T2-ITS	288720	288720
GT5-7456-T2-ITS	230576	230576
GT6-7486-T2-ITS	175893	175893
GT6-7595-T2-ITS	203264	203264
GT8-7341-T2-ITS	197245	197245
GT8-7420-T2-ITS	290802	290802
RM1-7145-T2-ITS	293803	293803
RM1-7391-T2-ITS	293854	293854
RM10-7202-T2-ITS	303736	303736
RM10-7324-T2-ITS	299006	299006
RM10-7402-T2-ITS	293379	293379
RM3-7115-T2-ITS	227387	227387
RM3-7609-T2-ITS	455192	455192
RM4-7358-T2-ITS	186050	186050
RM4-7436-T2-ITS	430368	430368
RM6-7065-T2-ITS	614464	614464
RM6-7120-T2-ITS	173299	173299
