sampleid	amplicon	timepoint	experimental_factor	control_vec	sampling_date	extraction_plate	indexing_plate	extr_conc_ng_ul	seq_pool	family	population	strategy	strategy_simple	classification	block	DBH23	NR_AUDPS_BV	NR_AUDPS_BV_group	NR_AUDPS_raw	NR_AUDPS_raw_group	DNB_AUDPS_BV	DNB_AUDPS_BV_group	DNB_AUDPS_raw	DNB_AUDPS_raw_group
BW10-7534-T2-ITS	ITS	T2	Pinus sylvestris needle phyllosphere	sample	2023-08-16	EP6_and_EP9	IP11		T2_run3	BW10	BW	LowDNB	Resistant	Central Atlantic	C	10.19	-0.33675844	Average	-8.633333334	Average	-2.91473108	Average	14.46666667	Resistant
EP6-Idx-Blank-T2-ITS	ITS	T2	control [EFO_0001461]	control		EP4	IP11		T2_run3	Idx-Blank	Idx-Blank													
BW3-7101-T2-ITS	ITS	T2	Pinus sylvestris needle phyllosphere	sample	2023-08-15	EP6_and_EP9	IP11		T2_run3	BW3	BW	HighNR	Resistant	Central Atlantic	A	17.67	-1.67668033	Resistant	-13.8	Resistant	-4.95662843	Resistant	26.06666667	Average
RM10-7202-T2-ITS	ITS	T2	Pinus sylvestris needle phyllosphere	sample	2023-08-15	EP6_and_EP9	IP11		T2_run3	RM10	RM	Average	Average	Cairngorms	B	14.32	-0.1668163	Average	-10.4	Average	-0.22145245	Average	26.6	Average
EP6-Pine-Rep2-T2-ITS	ITS	T2	Replicate Pinus sylvestris needle phyllosphere	sample		EP4	IP11		T2_run3	Pine-Rep	Pine-Rep													
BB7-7181-T2-ITS	ITS	T2	Pinus sylvestris needle phyllosphere	sample	2023-08-15	EP6_and_EP9	IP11		T2_run3	BB7	BB	Average	Average	Cairngorms	C	11.62	-0.12924936	Average	-9.45	Average	-1.64343114	Average	20.4	Average
BW7-7581-T2-ITS	ITS	T2	Pinus sylvestris needle phyllosphere	sample	2023-08-15	EP6_and_EP9	IP11		T2_run3	BW7	BW	Average	Average	Central Atlantic	A	14.32	-0.82852919	Average	-11.06666667	Average	-1.3638632	Average	35.33333333	Average
GC5-7089-T2-ITS	ITS	T2	Pinus sylvestris needle phyllosphere	sample	2023-08-15	EP6_and_EP9	IP11		T2_run3	GC5	GC	LowDNB	Resistant	Central Atlantic	D	14.16	-1.32606497	Resistant	-12.1	Resistant	-4.03418903	Resistant	5.4	Resistant
GE8-7333-T2-ITS	ITS	T2	Pinus sylvestris needle phyllosphere	sample	2023-08-15	EP6_and_EP9	IP11		T2_run3	GE8	GE	HighNR	Resistant	Central Atlantic	B	13.85	-1.78322361	Resistant	-14.33333333	Resistant	-2.79442267	Average	16	Average
BB5-7600-T2-ITS	ITS	T2	Pinus sylvestris needle phyllosphere	sample	2023-08-16	EP6_and_EP9	IP11		T2_run3	BB5	BB	Susceptible	Susceptible	Cairngorms	C	8.28	1.61784612	Susceptible	-2.233333334	Susceptible	7.33480655	Susceptible	64.26666667	Susceptible
EP6-Syn-Rep4-T2-ITS	ITS	T2	replicate [EFO_0000683]	sample		EP4	IP11		T2_run3	Syn-Rep	Syn-Rep													
