sampleid	amplicon	timepoint	experimental_factor	control_vec	sampling_date	extraction_plate	indexing_plate	extr_conc_ng_ul	seq_pool	family	population	strategy	strategy_simple	classification	block	DBH23	NR_AUDPS_BV	NR_AUDPS_BV_group	NR_AUDPS_raw	NR_AUDPS_raw_group	DNB_AUDPS_BV	DNB_AUDPS_BV_group	DNB_AUDPS_raw	DNB_AUDPS_raw_group
BE5-7132-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-05	EP3	IP5		T1_run1	BE5	BE	Average	Average	Hyper-oceanic	A	16.55	-0.19921107	Average	-9.033333332	Average	-0.89013645	Average	45.26666667	Susceptible
GT8-7420-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-05	EP3	IP5		T1_run1	GT8	GT	Susceptible	Susceptible	Cairngorms	A	10.35	0.99459192	Susceptible	-5.633333332	Susceptible	0.70544559	Average	52.93333333	Susceptible
EP3-Idx-Blank-T1-ITS	ITS	T1	control [EFO_0001461]	control		EP3	IP5		T1_run1	Idx-Blank	Idx-Blank													
BW7-7506-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP3	IP5		T1_run1	BW7	BW	Average	Average	Central Atlantic	D	11.14	-1.01175618	Resistant	-12.06666667	Resistant	0.64037016	Average	25.33333333	Average
GE1-7112-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-05	EP3	IP5		T1_run1	GE1	GE	Average	Average	Central Atlantic	B	13.21	0.5310407	Average	-8	Average	0.19747839	Average	32.26666666	Average
EP3-Pine-Rep2-T1-ITS	ITS	T1	Replicate Pinus sylvestris needle phyllosphere	sample		EP3	IP5		T1_run1	Pine-Rep	Pine-Rep													
RM6-7031-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP3	IP5		T1_run1	RM6	RM	Average	Average	Cairngorms	D	14.96	-0.56175157	Average	-9.4	Average	0.17537141	Average	29.2	Average
CR7-7154-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP3	IP5		T1_run1	CR7	CR	HighNR	Resistant	Hyper-oceanic	D	13.37	-0.5604155	Average	-12.4	Resistant	-1.60414846	Average	18.13333333	Average
EP3-Syn-Rep2-T1-ITS	ITS	T1	replicate [EFO_0000683]	sample		EP3	IP5		T1_run1	Syn-Rep	Syn-Rep													
GC9-7589-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-05	EP3	IP5		T1_run1	GC9	GC	Vulnerable	Susceptible	Central Atlantic	B	11.78	1.35058348	Susceptible	-6.3	Susceptible	-3.2273408	Resistant	8.666666666	Resistant
BW2-7025-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP3	IP5		T1_run1	BW2	BW	LowDNB	Resistant	Central Atlantic	D	12.41	-0.54431172	Average	-10.26666667	Average	-0.57304072	Average	12.93333333	Resistant
EP3-Pine-Rep3-T1-ITS	ITS	T1	Replicate Pinus sylvestris needle phyllosphere	sample		EP3	IP5		T1_run1	Pine-Rep	Pine-Rep													
BE3-7156-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP3	IP5		T1_run1	BE3	BE	LowNR	Susceptible	Hyper-oceanic	D	14.64	1.95896512	Susceptible	-4.733333334	Susceptible	4.52924348	Susceptible	48.53333333	Susceptible
AC7-7439-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP3	IP5		T1_run1	AC7	AC	Average	Average	Cairngorms	C	15.12	-0.31948662	Average	-9.333333332	Average	0.05529522	Average	8	Resistant
EP3-DNAblank-T1-ITS	ITS	T1	control [EFO_0001461]	control		EP2	IP5		T1_run1	DNAblank	DNAblank													
BW3-7101-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-05	EP3	IP5		T1_run1	BW3	BW	HighNR	Resistant	Central Atlantic	A	17.67	-1.67668033	Resistant	-13.8	Resistant	-4.95662843	Resistant	26.06666667	Average
CG7-7574-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP3	IP5		T1_run1	CG7	CG	Resistant	Resistant	Hyper-oceanic	D	15.92	-0.97302659	Resistant	-13.6	Resistant	-2.79628717	Average	15.2	Average
RM10-7402-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP3	IP5		T1_run1	RM10	RM	LowDNB	Resistant	Cairngorms	C	12.89	0.09264148	Average	-8.85	Average	-1.70623567	Average	13.26666667	Resistant
EP3-Syn-Rep1-T1-ITS	ITS	T1	replicate [EFO_0000683]	sample		EP3	T1-repeats		T3_run6	Syn-Rep	Syn-Rep													
AC9-7142-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-05	EP2	T1-repeats		T3_run6	AC9	AC	Average	Average	Cairngorms	B	9.55	0.34434395	Average	-8.233333332	Average	-3.220849	Resistant	16.26666667	Average
CG4-7218-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP3	T1-repeats		T3_run6	CG4	CG	HighNR	Resistant	Hyper-oceanic	D	16.71	-0.52249	Average	-12.8	Resistant	-2.70137909	Average	17.6	Average
BE7-7378-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP3	T1-repeats		T3_run6	BE7	BE	HighNR	Resistant	Hyper-oceanic	D	15.44	-2.53978378	Resistant	-13.06666667	Resistant	-1.11452669	Average	30.93333333	Average
GC8-7501-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP1	T1-repeats	50.8	T3_run6	GC8	GC	LowNR	Susceptible	Central Atlantic	C	5.57	2.39114059	Susceptible	-3.216666668	Susceptible	2.08052701	Average	29.33333333	Average
BE2-7510-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP1	T1-repeats	50.6	T3_run6	BE2	BE	Susceptible	Susceptible	Hyper-oceanic	D	5.25	2.65798103	Susceptible	-3.4	Susceptible	6.71671584	Susceptible	47.86666667	Susceptible
GC8-7377-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP1	T1-repeats	32.2	T3_run6	GC8	GC	Susceptible	Susceptible	Central Atlantic	D	8.59	2.22136349	Susceptible	-4.666666668	Susceptible	3.37407645	Susceptible	47.2	Susceptible
GE2-7530-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP1	T1-repeats	66.2	T3_run6	GE2	GE	Susceptible	Susceptible	Central Atlantic	C	7.64	1.11967578	Susceptible	-3.766666666	Susceptible	4.36784471	Susceptible	50.4	Susceptible
GC2-7507-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP3	T1-repeats		T3_run6	GC2	GC	HighNR	Resistant	Central Atlantic	D	14.48	-1.92524627	Resistant	-13.6	Resistant	-2.64106614	Average	9.6	Resistant
CR10-7497-T1-ITS	ITS	T1	Pinus sylvestris needle phyllosphere	sample	2023-07-04	EP3	T1-repeats		T3_run6	CR10	CR	Average	Average	Hyper-oceanic	C	15.44	0.73896071	Average	-8.733333332	Average	0.63572847	Average	23.26666667	Average
