sampleid	amplicon	timepoint	experimental_factor	control_vec	sampling_date	extraction_plate	indexing_plate	extr_conc_ng_ul	seq_pool	family	population	strategy	strategy_simple	classification	block	DBH23	NR_AUDPS_BV	NR_AUDPS_BV_group	NR_AUDPS_raw	NR_AUDPS_raw_group	DNB_AUDPS_BV	DNB_AUDPS_BV_group	DNB_AUDPS_raw	DNB_AUDPS_raw_group
CG8-7544-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	120	T3_run5	CG8	CG	HighDNB	Susceptible	Hyper-oceanic	D	10.19	0.42815626	Average	-9.183333332	Average	3.85186767	Susceptible	43.86666667	Susceptible
GT2-7573-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	110	T3_run5	GT2	GT	Average	Average	Cairngorms	D	11.14	-0.03629912	Average	-8.6	Average	3.1019007	Susceptible	34.6	Average
AC8-7541-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	118	T3_run5	AC8	AC	LowNR	Susceptible	Cairngorms	D	10.5	1.07636369	Susceptible	-4.933333334	Susceptible	-1.4703843	Average	21.2	Average
BE3-7514-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	81.4	T3_run5	BE3	BE	Susceptible	Susceptible	Hyper-oceanic	A	10.66	1.06436647	Susceptible	-6.166666666	Susceptible	0.56520927	Average	47.33333333	Susceptible
BB2-7039-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-28	EP7	IP13	120	T3_run5	BB2	BB	Average	Average	Cairngorms	A	10.5	1.07131674	Susceptible	-6.9	Susceptible	-3.59174108	Resistant	39	Average
AC2-7474-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	120	T3_run5	AC2	AC	Average	Average	Cairngorms	D	10.5	-0.11435304	Average	-8.466666668	Average	-0.9999043	Average	24.8	Average
GT6-7486-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-28	EP7	IP13	120	T3_run5	GT6	GT	Tolerant	Resistant	Cairngorms	A	13.21	-1.19659724	Resistant	-12.26666667	Resistant	-1.25402543	Average	38.53333334	Average
BE5-7132-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-28	EP7	IP13	120	T3_run5	BE5	BE	Average	Average	Hyper-oceanic	A	16.55	-0.19921107	Average	-9.033333332	Average	-0.89013645	Average	45.26666667	Susceptible
GT8-7420-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-28	EP7	IP13	86.6	T3_run5	GT8	GT	Susceptible	Susceptible	Cairngorms	A	10.35	0.99459192	Susceptible	-5.633333332	Susceptible	0.70544559	Average	52.93333333	Susceptible
BB5-7326-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	120	T3_run5	BB5	BB	HighDNB	Susceptible	Cairngorms	A	13.05	0.03033985	Average	-9.066666666	Average	10.08821383	Susceptible	91.53333333	Susceptible
EP7-Syn-Rep1-T3-ITS	ITS	T3	replicate [EFO_0000683]	sample		EP7	IP13		T3_run5	Syn-Rep	Syn-Rep													
CR10-7348-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	120	T3_run5	CR10	CR	LowDNB	Resistant	Hyper-oceanic	D	14.64	0.7465315	Average	-9.866666666	Average	-0.91451176	Average	14.26666667	Resistant
RM4-7411-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	120	T3_run5	RM4	RM	Vulnerable	Susceptible	Cairngorms	D	14.16	1.07182423	Susceptible	-6.6	Susceptible	-4.00900135	Resistant	14	Resistant
AC7-7611-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-28	EP7	IP13	108	T3_run5	AC7	AC	Susceptible	Susceptible	Cairngorms	A	6.21	1.58935151	Susceptible	-3.5	Susceptible	12.1375618	Susceptible	97.26666667	Susceptible
BE7-7378-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	0.12	T3_run5	BE7	BE	HighNR	Resistant	Hyper-oceanic	D	15.44	-2.53978378	Resistant	-13.06666667	Resistant	-1.11452669	Average	30.93333333	Average
GT6-7349-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	120	T3_run5	GT6	GT	Average	Average	Cairngorms	D	13.37	-0.76070019	Average	-9.933333334	Average	0.6101444	Average	32.26666667	Average
BW2-7025-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	116	T3_run5	BW2	BW	LowDNB	Resistant	Central Atlantic	D	12.41	-0.54431172	Average	-10.26666667	Average	-0.57304072	Average	12.93333333	Resistant
BW3-7101-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-28	EP7	IP13	77.2	T3_run5	BW3	BW	HighNR	Resistant	Central Atlantic	A	17.67	-1.67668033	Resistant	-13.8	Resistant	-4.95662843	Resistant	26.06666667	Average
GE2-7383-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	112	T3_run5	GE2	GE	LowDNB	Resistant	Central Atlantic	D	14.8	-1.13613878	Resistant	-10.9	Average	-2.67762048	Average	10.66666667	Resistant
GT5-7253-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	82.2	T3_run5	GT5	GT	Average	Average	Cairngorms	D	11.3	0.96277291	Susceptible	-6.95	Susceptible	0.41033351	Average	32.66666667	Average
BW10-7357-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-28	EP7	IP13	118	T3_run5	BW10	BW	Average	Average	Central Atlantic	A	15.12	-0.31407643	Average	-10.1	Average	-4.58000784	Resistant	26.93333333	Average
AC2-7291-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-28	EP7	IP13	75.6	T3_run5	AC2	AC	Vulnerable	Susceptible	Cairngorms	A	12.89	0.29233049	Average	-6.033333334	Susceptible	-6.80384138	Resistant	13	Resistant
EP7-Idx-Blank-T3-ITS	ITS	T3	control [EFO_0001461]	control		EP7	IP13		T3_run5	Idx-Blank	Idx-Blank													
BB7-7224-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	116	T3_run5	BB7	BB	LowNR	Susceptible	Cairngorms	D	11.14	1.06307536	Susceptible	-5.233333334	Susceptible	-1.02092473	Average	29.6	Average
BE4-7003-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-28	EP7	IP13	120	T3_run5	BE4	BE	Average	Average	Hyper-oceanic	B	17.19	-0.47383025	Average	-9.3	Average	-3.06682711	Resistant	41.86666667	Average
BW10-7633-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	90.8	T3_run5	BW10	BW	LowDNB	Resistant	Central Atlantic	D	13.37	0.12076814	Average	-8	Average	-3.77538178	Resistant	9.066666666	Resistant
AC9-7346-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	106	T3_run5	AC9	AC	Vulnerable	Susceptible	Cairngorms	D	10.35	1.39675207	Susceptible	-4.766666668	Susceptible	-3.52991143	Resistant	14.26666667	Resistant
BW6-7035-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-28	EP7	IP13	120	T3_run5	BW6	BW	HighDNB	Susceptible	Central Atlantic	A	15.12	0.0953271	Average	-9.35	Average	0.4308987	Average	50.4	Susceptible
GC9-7537-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	110	T3_run5	GC9	GC	Resistant	Resistant	Central Atlantic	D	12.57	-1.07925405	Resistant	-12.26666667	Resistant	-3.68288474	Resistant	8.666666666	Resistant
CR4-7671-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	116	T3_run5	CR4	CR	Resistant	Resistant	Hyper-oceanic	D	15.92	-1.0798298	Resistant	-13.5	Resistant	-4.2665735	Resistant	14.2	Resistant
BB2-7542-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	83.6	T3_run5	BB2	BB	Susceptible	Susceptible	Cairngorms	D	10.35	1.57616638	Susceptible	-5	Susceptible	1.55838729	Average	38.6	Average
BE3-7156-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	106	T3_run5	BE3	BE	LowNR	Susceptible	Hyper-oceanic	D	14.64	1.95896512	Susceptible	-4.733333334	Susceptible	4.52924348	Susceptible	48.53333333	Susceptible
GT8-7254-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	114	T3_run5	GT8	GT	Average	Average	Cairngorms	D	11.62	0.54121394	Average	-7.4	Average	1.74589922	Average	39.26666667	Average
GE9-7002-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	120	T3_run5	GE9	GE	Susceptible	Susceptible	Central Atlantic	A	14.8	1.23775082	Susceptible	-6.766666666	Susceptible	1.40669132	Average	56.66666667	Susceptible
BW7-7581-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-28	EP7	IP13	120	T3_run5	BW7	BW	Average	Average	Central Atlantic	A	14.32	-0.82852919	Average	-11.06666667	Average	-1.3638632	Average	35.33333333	Average
EP7-DNAblank-T3-ITS	ITS	T3	control [EFO_0001461]	control		EP7	IP13	0.32	T3_run5	DNAblank	DNAblank													
BE7-7455-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-28	EP7	IP13	104	T3_run5	BE7	BE	HighNR	Resistant	Hyper-oceanic	A	13.69	-2.1270303	Resistant	-14.26666667	Resistant	0.23507498	Average	41.26666667	Average
CG4-7097-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-28	EP7	IP13	102	T3_run5	CG4	CG	Average	Average	Hyper-oceanic	A	14.01	1.43530452	Susceptible	-7.366666666	Average	-1.14380656	Average	45.73333333	Susceptible
GC8-7582-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-28	EP7	IP13	63.6	T3_run5	GC8	GC	Average	Average	Central Atlantic	A	9.71	1.67966575	Susceptible	-6.866666666	Susceptible	0.6469695	Average	38	Average
CR9-7320-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	120	T3_run5	CR9	CR	HighNR	Resistant	Hyper-oceanic	D	16.71	-1.17874651	Resistant	-13.6	Resistant	0.33058831	Average	20.66666667	Average
CG6-7551-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-28	EP7	IP13	108	T3_run5	CG6	CG	HighNR	Resistant	Hyper-oceanic	A	14.48	-0.98292104	Resistant	-14.3	Resistant	-2.6919277	Average	26.6	Average
AC1-7230-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-28	EP7	IP13	97.2	T3_run5	AC1	AC	LowNR	Susceptible	Cairngorms	A	8.75	1.06572071	Susceptible	-5.466666668	Susceptible	-3.08189654	Resistant	34.4	Average
GT2-7200-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-28	EP7	IP13	104	T3_run5	GT2	GT	Tolerant	Resistant	Cairngorms	A	13.21	-1.19152868	Resistant	-12.6	Resistant	2.65879516	Susceptible	53.06666667	Susceptible
BE2-7069-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	68.6	T3_run5	BE2	BE	Susceptible	Susceptible	Hyper-oceanic	A	6.84	2.58648566	Susceptible	-3.933333334	Susceptible	10.51531153	Susceptible	95.73333334	Susceptible
CG4-7218-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	120	T3_run5	CG4	CG	HighNR	Resistant	Hyper-oceanic	D	16.71	-0.52249	Average	-12.8	Resistant	-2.70137909	Average	17.6	Average
BB1-7409-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	118	T3_run5	BB1	BB	Average	Average	Cairngorms	D	9.39	0.13714558	Average	-7.333333334	Average	0.72715395	Average	28.26666667	Average
GC1-7294-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	112	T3_run5	GC1	GC	HighDNB	Susceptible	Central Atlantic	A	13.05	0.31728758	Average	-8.3	Average	4.67947277	Susceptible	64.40000001	Susceptible
BB1-7232-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-28	EP7	IP13	120	T3_run5	BB1	BB	Susceptible	Susceptible	Cairngorms	A	9.55	1.08252768	Susceptible	-5.833333334	Susceptible	9.0727896	Susceptible	86.19999999	Susceptible
GE6-7186-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	120	T3_run5	GE6	GE	Average	Average	Central Atlantic	D	14.01	0.73492038	Average	-7.866666668	Average	-0.66960777	Average	14.66666667	Resistant
GE9-7480-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	118	T3_run5	GE9	GE	LowNR	Susceptible	Central Atlantic	D	13.37	2.08388032	Susceptible	-4.333333334	Susceptible	3.41666269	Susceptible	40.26666667	Average
GC2-7507-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	120	T3_run5	GC2	GC	HighNR	Resistant	Central Atlantic	D	14.48	-1.92524627	Resistant	-13.6	Resistant	-2.64106614	Average	9.6	Resistant
RM6-7031-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	118	T3_run5	RM6	RM	Average	Average	Cairngorms	D	14.96	-0.56175157	Average	-9.4	Average	0.17537141	Average	29.2	Average
EP7-Syn-Rep2-T3-ITS	ITS	T3	replicate [EFO_0000683]	sample		EP7	IP13		T3_run5	Syn-Rep	Syn-Rep													
GE1-7647-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-28	EP7	IP13	104	T3_run5	GE1	GE	Tolerant	Resistant	Central Atlantic	A	15.92	-1.17113651	Resistant	-13.8	Resistant	2.40523225	Average	44.99999999	Susceptible
EP7-Syn-Rep4-T3-ITS	ITS	T3	replicate [EFO_0000683]	sample		EP7	IP13		T3_run5	Syn-Rep	Syn-Rep													
AC7-7032-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	92.2	T3_run5	AC7	AC	Average	Average	Cairngorms	D	12.89	-0.71103673	Average	-8.7	Average	2.45923388	Average	27.6	Average
RM3-7538-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	120	T3_run5	RM3	RM	LowDNB	Resistant	Cairngorms	D	14.8	0.94692621	Susceptible	-7.6	Average	0.62745231	Average	19.2	Average
EP7-Pine-Rep2-T3-ITS	ITS	T3	Replicate Pinus sylvestris needle phyllosphere	sample		EP7	IP13		T3_run5	Pine-Rep	Pine-Rep													
CG7-7574-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	99.4	T3_run5	CG7	CG	Resistant	Resistant	Hyper-oceanic	D	15.92	-0.97302659	Resistant	-13.6	Resistant	-2.79628717	Average	15.2	Average
GE2-7483-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-28	EP7	IP13	120	T3_run5	GE2	GE	Average	Average	Central Atlantic	A	16.87	-1.40334449	Resistant	-11.1	Average	-3.20249989	Resistant	31.6	Average
RM3-7609-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-28	EP7	IP13	120	T3_run5	RM3	RM	Average	Average	Cairngorms	A	13.85	0.82747501	Average	-8.2	Average	2.44117464	Average	46.93333333	Susceptible
GC1-7128-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	120	T3_run5	GC1	GC	LowDNB	Resistant	Central Atlantic	D	14.96	-0.1564793	Average	-8.866666666	Average	-2.2158158	Average	11.8	Resistant
RM6-7065-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-28	EP7	IP13	77.8	T3_run5	RM6	RM	Tolerant	Resistant	Cairngorms	A	14.48	-1.52618385	Resistant	-12.8	Resistant	0.6420517	Average	59.33333334	Susceptible
AC8-7453-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-28	EP7	IP13	73.8	T3_run5	AC8	AC	LowNR	Susceptible	Cairngorms	A	13.21	1.32647444	Susceptible	-4.633333334	Susceptible	-5.76036854	Resistant	18.93333333	Average
EP7-Syn-Rep3-T3-ITS	ITS	T3	replicate [EFO_0000683]	sample		EP7	IP13		T3_run5	Syn-Rep	Syn-Rep													
RM4-7358-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-28	EP7	IP13	110	T3_run5	RM4	RM	Average	Average	Cairngorms	A	15.76	-0.09127828	Average	-10.93333333	Average	-2.38993446	Average	36.46666667	Average
BB5-7412-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	120	T3_run5	BB5	BB	Vulnerable	Susceptible	Cairngorms	D	8.28	0.9203197	Susceptible	-5.833333334	Susceptible	-0.28490271	Average	17.06666667	Average
EP7-Pine-Rep3-T3-ITS	ITS	T3	Replicate Pinus sylvestris needle phyllosphere	sample		EP7	IP13		T3_run5	Pine-Rep	Pine-Rep													
GC5-7089-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	120	T3_run5	GC5	GC	LowDNB	Resistant	Central Atlantic	D	14.16	-1.32606497	Resistant	-12.1	Resistant	-4.03418903	Resistant	5.4	Resistant
BW6-7284-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	110	T3_run5	BW6	BW	Average	Average	Central Atlantic	D	7.51	0.03732835	Average	-9.65	Average	0.63074748	Average	24.93333333	Average
RM1-7665-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	91.2	T3_run5	RM1	RM	Average	Average	Cairngorms	D	11.14	-0.27922607	Average	-9.366666668	Average	-2.09252052	Average	14.4	Resistant
CG2-7072-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	120	T3_run5	CG2	CG	Resistant	Resistant	Hyper-oceanic	A	16.55	-1.78122733	Resistant	-15.86666667	Resistant	-7.99935756	Resistant	15.93333333	Average
CG7-7197-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	120	T3_run5	CG7	CG	LowDNB	Resistant	Hyper-oceanic	A	14.48	0.63776973	Average	-9.483333334	Average	-6.57454895	Resistant	12.93333333	Resistant
RM1-7391-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-28	EP7	IP13	88.2	T3_run5	RM1	RM	Tolerant	Resistant	Cairngorms	A	13.37	-0.99598654	Resistant	-13.26666667	Resistant	-2.26552195	Average	34.93333333	Average
CR9-7389-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-28	EP7	IP13	120	T3_run5	CR9	CR	Tolerant	Resistant	Hyper-oceanic	A	14.96	-1.37809346	Resistant	-14	Resistant	9.54716363	Susceptible	93.86666668	Susceptible
CR10-7549-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-28	EP7	IP13	65.6	T3_run5	CR10	CR	Susceptible	Susceptible	Hyper-oceanic	A	9.87	2.57485893	Susceptible	-4.716666666	Susceptible	11.22257436	Susceptible	98.93333333	Susceptible
GC9-7100-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-28	EP7	IP13	112	T3_run5	GC9	GC	Average	Average	Central Atlantic	A	12.89	0.00172365	Average	-9.516666666	Average	-3.33090196	Resistant	36.93333333	Average
GE7-7575-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	112	T3_run5	GE7	GE	LowNR	Susceptible	Central Atlantic	D	4.14	2.02998742	Susceptible	-4.266666668	Susceptible	0.09875641	Average	28.00000001	Average
BE4-7607-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	120	T3_run5	BE4	BE	Average	Average	Hyper-oceanic	D	13.69	-1.18514252	Resistant	-11.31666667	Average	-2.82298032	Average	20.66666667	Average
GE7-7423-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-28	EP7	IP13	83.8	T3_run5	GE7	GE	Average	Average	Central Atlantic	A	12.89	0.46798458	Average	-10.11666667	Average	-1.89494566	Average	33.86666667	Average
AC9-7099-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-28	EP7	IP13	93	T3_run5	AC9	AC	LowNR	Susceptible	Cairngorms	A	13.37	0.78837047	Average	-6.433333334	Susceptible	-1.56537201	Average	42.06666667	Average
BB3-7126-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	112	T3_run5	BB3	BB	Resistant	Resistant	Cairngorms	D	13.85	-2.0802967	Resistant	-12.4	Resistant	-3.95370475	Resistant	12.13333333	Resistant
CR7-7648-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-28	EP7	IP13	102	T3_run5	CR7	CR	Average	Average	Hyper-oceanic	A	11.46	0.1037674	Average	-12.01666667	Resistant	0.48009776	Average	40.93333333	Average
EP7-Syn-Extr-T3-ITS	ITS	T3	replicate [EFO_0000683]	sample		EP7	IP13	7.26	T3_run5	Syn-Extr	Syn-Extr													
GE1-7638-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	120	T3_run5	GE1	GE	Average	Average	Central Atlantic	D	14.64	-1.13325098	Resistant	-11.9	Average	-0.29876081	Average	22.93333333	Average
BW7-7593-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP8	IP15	120	T3_run6	BW7	BW	LowNR	Susceptible	Central Atlantic	C	11.62	0.85589838	Average	-5.933333334	Susceptible	0.80489061	Average	25.93333333	Average
CG3-7651-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-28	EP8	IP15	120	T3_run6	CG3	CG	Average	Average	Hyper-oceanic	B	13.21	0.62249652	Average	-10.6	Average	1.22535665	Average	25.2	Average
RM10-7402-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP8	IP15	120	T3_run6	RM10	RM	LowDNB	Resistant	Cairngorms	C	12.89	0.09264148	Average	-8.85	Average	-1.70623567	Average	13.26666667	Resistant
CR7-7183-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP8	IP15	120	T3_run6	CR7	CR	HighNR	Resistant	Hyper-oceanic	C	13.62	-0.66897154	Average	-13.1	Resistant	-0.34699096	Average	29.4	Average
EP8-Syn-Rep4-T3-ITS	ITS	T3	replicate [EFO_0000683]	sample		EP8	IP15		T3_run6	Syn-Rep	Syn-Rep													
BW3-7429-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-28	EP8	IP15	120	T3_run6	BW3	BW	Resistant	Resistant	Central Atlantic	B	16.07	-1.40453136	Resistant	-14.33333333	Resistant	-4.08193335	Resistant	8.066666666	Resistant
BB2-7590-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP8	IP15	120	T3_run6	BB2	BB	LowNR	Susceptible	Cairngorms	B	6.37	1.77020918	Susceptible	-5.133333334	Susceptible	-1.37487778	Average	17.8	Average
RM1-7145-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP8	IP15	108	T3_run6	RM1	RM	Average	Average	Cairngorms	C	13.85	-0.7717736	Average	-12.43333333	Resistant	1.90791163	Average	35.46666667	Average
