sampleid	amplicon	timepoint	experimental_factor	control_vec	sampling_date	extraction_plate	indexing_plate	extr_conc_ng_ul	seq_pool	family	population	strategy	strategy_simple	classification	block	DBH23	NR_AUDPS_BV	NR_AUDPS_BV_group	NR_AUDPS_raw	NR_AUDPS_raw_group	DNB_AUDPS_BV	DNB_AUDPS_BV_group	DNB_AUDPS_raw	DNB_AUDPS_raw_group
GT5-7456-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-28	EP7	IP13	120	T3_run5	GT5	GT	Average	Average	Cairngorms	A	14.16	0.59549353	Average	-9.933333332	Average	-0.97282799	Average	36.26666667	Average
RM10-7352-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	120	T3_run5	RM10	RM	Average	Average	Cairngorms	D	12.73	0.15494337	Average	-9.533333334	Average	0.14153294	Average	21.2	Average
CR3-7445-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	120	T3_run5	CR3	CR	Average	Average	Hyper-oceanic	D	15.28	-0.42688008	Average	-12.43333333	Resistant	4.16016178	Susceptible	42.93333334	Average
EP7-Amp-Blank-T3-ITS	ITS	T3	control [EFO_0001461]	control		EP7	IP13		T3_run5	Amp-Blank	Amp-Blank													
BE5-7509-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	120	T3_run5	BE5	BE	HighDNB	Susceptible	Hyper-oceanic	D	15.12	0.0328845	Average	-8.35	Average	0.27581927	Average	28.86666667	Average
GT1-7384-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	120	T3_run5	GT1	GT	Average	Average	Cairngorms	D	12.89	-0.43747368	Average	-10.4	Average	-0.5838753	Average	17.33333333	Average
GC8-7377-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	116	T3_run5	GC8	GC	Susceptible	Susceptible	Central Atlantic	D	8.59	2.22136349	Susceptible	-4.666666668	Susceptible	3.37407645	Susceptible	47.2	Susceptible
GE6-7040-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-28	EP7	IP13	106	T3_run5	GE6	GE	Susceptible	Susceptible	Central Atlantic	A	8.28	1.72778973	Susceptible	-5.6	Susceptible	14.32963786	Susceptible	119.4666667	Susceptible
EP7-Pine-Rep1-T3-ITS	ITS	T3	Replicate Pinus sylvestris needle phyllosphere	sample		EP7	IP13		T3_run5	Pine-Rep	Pine-Rep													
GE8-7645-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-28	EP7	IP13	120	T3_run5	GE8	GE	Average	Average	Central Atlantic	A	12.41	-1.31385746	Resistant	-11.93333333	Average	-2.39616599	Average	28.93333333	Average
BW7-7506-T3-ITS	ITS	T3	Pinus sylvestris needle phyllosphere	sample	2023-09-27	EP7	IP13	118	T3_run5	BW7	BW	Average	Average	Central Atlantic	D	11.14	-1.01175618	Resistant	-12.06666667	Resistant	0.64037016	Average	25.33333333	Average
