Sample_ID	Sample_description	Genotype	Timepoint	Extraction_plate	Well	Classification	Population	Family	Field_Row	Field_Column	Field_Block	NR_AUDPS_raw	NR_AUDPS_raw_group	DNB_AUDPS_raw	DNB_AUDPS_raw_group	Metatranscriptomics	Tree_genotype	Tree_provenance_pop	Tree_provenance_fam	Raw_reads	Filtered	Denoised	Merged	Non_chimeric	Non_mito_chlor	Non_syn_comm	No_unassigned	Final_reads_per_sample	Notes
AC1-7050-T1-ITS	Pinus sylvestris needles collected from tree genotype 7050 at timepoint T1	7050	T1	EP3	F03	Cairngorms	AC	AC1	7	2	C	-10.23333333	Average	18.13333333	Average	No	7050	AC	AC1	0	NA	NA	NA	NA	NA	NA	NA	NA	Dropped out due to failed library preparation or sequencing
GE1-7112-T1-ITS	Pinus sylvestris needles collected from tree genotype 7112 at timepoint T1	7112	T1	EP3	D03	""Central Atlantic""	GE	GE1	1	4	B	-8	Average	32.26666666	Average	No	7112	GE	GE1	4607806	4250096	4245506	4212745	4150217	3810791	3810772	3810598	NA	Dropped out during removal of outlying samples
AC9-7142-T1-ITS	Pinus sylvestris needles collected from tree genotype 7142 at timepoint T1	7142	T1	EP2	C01	Cairngorms	AC	AC9	3	5	B	-8.233333332	Average	16.26666667	Average	No	7142	AC	AC9	227474	0	0	0	0	NA	NA	NA	NA	Dropped out during quality filtering
GT5-7253-T1-ITS	Pinus sylvestris needles collected from tree genotype 7253 at timepoint T1	7253	T1	EP1	G03	Cairngorms	GT	GT5	4	8	D	-6.95	Susceptible	32.66666667	Average	No	7253	GT	GT5	0	NA	NA	NA	NA	NA	NA	NA	NA	Dropped out due to failed library preparation or sequencing
AC2-7291-T3-ITS	Pinus sylvestris needles collected from tree genotype 7291 at timepoint T3	7291	T3	EP7	A05	Cairngorms	AC	AC2	6	10	A	-6.033333334	Susceptible	13	Resistant	No	7291	AC	AC2	0	NA	NA	NA	NA	NA	NA	NA	NA	Dropped out due to failed library preparation or sequencing
CR3-7338-T3-ITS	Pinus sylvestris needles collected from tree genotype 7338 at timepoint T3	7338	T3	EP8	G06	""Hyper-oceanic""	CR	CR3	7	11	C	-9.266666668	Average	38.93333333	Average	No	7338	CR	CR3	379030	340856	340584	334364	325655	325047	325047	325047	NA	Dropped out during removal of outlying samples
BB1-7409-T1-ITS	Pinus sylvestris needles collected from tree genotype 7409 at timepoint T1	7409	T1	EP3	F08	Cairngorms	BB	BB1	8	13	D	-7.333333334	Average	28.26666667	Average	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Dropped out due to failed library preparation or sequencing
AC2-7474-T3-ITS	Pinus sylvestris needles collected from tree genotype 7474 at timepoint T3	7474	T3	EP7	A03	Cairngorms	AC	AC2	7	15	D	-8.466666668	Average	24.8	Average	No	7474	AC	AC2	0	NA	NA	NA	NA	NA	NA	NA	NA	Dropped out due to failed library preparation or sequencing
